# ExportGPHVersion: 1.22
# InputFile: \\SRV-DATA2\PrediCog\EyeCog\Analyses\Analyses_Adrian\Categorisation\ALj01\ALj01_Encodage-catégorisation_set1_14_03_22_2022.06.01_18.16.00.gph
# OutputFile: \\SRV-DATA2\PrediCog\EyeCog\Analyses\Analyses_Adrian\Categorisation\ALj01\Export_2023-07-17_08-23-48_categorisation.csv
# ExportDate: 17/07/2023 08:23:48
# AcquisitionSoftware: meyeParadigm
# AcqSoftwareVersion: 1.23
# PatientsName: ALj01 ALj01
# DateOfBirth: 01/01/2001
# ExamDate: 01/06/2022
# Comment: -
# 
# Device: EyeBrain_T2
# SampleRate(Hz): 300
# HeadScreenDistance(mm): 600
# ScreenSize[X,Y](mm): 478 269
# Resolution[X,Y](pix): 1920 1080
# 
# CalibrationQuality
# CorrelationLX: 0.57
# CorrelationLY: 0.79
# CorrelationRX: 0.92
# CorrelationRY: 0.97
Time (ms);LX (deg);LY (deg);RX (deg);RY (deg);LDX (pix);LDY (pix);RDX (pix);RDY (pix);Label;
0;6.946;4.299;8.135;8.485;438;448;464;461;;
3;7.007;4.387;8.010;8.373;434;448;461;464;;
6;6.872;4.355;8.071;8.373;434;448;464;464;;
10;7.341;4.538;8.015;8.485;438;448;467;464;Fixation=ani_art_set1_I_11: trial n°0; 
13;7.007;4.387;8.099;8.315;432;448;464;464;;
16;7.143;4.419;8.099;8.315;443;448;464;459;;
20;7.007;4.387;8.071;8.373;434;448;464;464;;
23;6.811;4.267;8.131;8.373;438;448;464;461;;
26;6.737;4.323;8.099;8.315;432;448;464;461;;
30;7.007;4.387;8.071;8.373;434;448;461;461;;
33;6.872;4.355;8.010;8.373;434;448;464;467;;
36;7.341;4.538;8.071;8.373;443;448;464;467;;
40;6.811;4.267;7.982;8.429;434;448;467;464;;
43;6.737;4.323;8.071;8.373;434;448;464;466;;
46;6.811;4.267;7.982;8.429;438;448;467;474;;
50;6.737;4.323;7.920;8.429;432;448;467;461;;
53;6.872;4.355;7.892;8.485;432;448;471;468;;
56;6.737;4.323;8.010;8.373;434;448;464;464;;
60;6.934;4.442;7.982;8.429;434;448;467;471;;
63;6.541;4.203;7.948;8.372;432;448;471;467;;
66;6.469;4.260;7.858;8.429;432;448;468;468;;
70;6.737;4.323;7.886;8.372;434;451;471;476;;
73;7.531;4.798;7.831;8.485;437;464;471;480;;
76;6.603;4.291;7.892;8.485;432;448;464;464;;
80;6.532;4.348;7.892;8.485;437;455;468;469;;
83;6.603;4.291;7.796;8.429;432;455;466;474;;
86;7.395;4.767;7.858;8.429;432;464;466;478;;
90;6.926;4.585;7.796;8.429;444;464;466;480;;
93;6.862;4.498;7.796;8.429;435;462;471;478;;
97;6.469;4.260;7.796;8.429;435;451;471;480;;
100;6.603;4.291;7.768;8.485;435;448;466;475;;
103;7.061;4.617;7.831;8.485;434;464;471;480;;
107;6.799;4.411;7.886;8.372;432;455;466;480;;
110;7.196;4.648;7.824;8.372;432;464;466;471;;
113;6.665;4.379;7.796;8.429;435;458;466;480;;
117;7.732;4.917;7.796;8.429;434;464;466;480;;
120;7.260;4.735;7.796;8.429;432;464;468;480;;
123;7.061;4.617;7.789;8.314;432;464;464;480;;
127;6.862;4.498;7.697;8.371;435;460;469;480;;
130;6.463;4.405;7.725;8.313;435;464;461;480;;
133;7.260;4.735;7.697;8.371;432;464;471;480;;
137;6.595;4.436;7.661;8.313;432;464;475;480;;
140;7.061;4.617;7.633;8.371;432;464;468;480;;
143;7.661;4.971;7.669;8.428;435;464;475;480;;
147;7.190;4.790;7.725;8.313;435;464;471;478;;
150;7.125;4.704;7.633;8.371;435;464;475;480;;
