# ExportGPHVersion: 1.22
# InputFile: \\SRV-DATA2\PrediCog\EyeCog\Analyses\Analyses_Adrian\Ages\Pupille\Analyse sujet par sujet\BAa48_\BAa48_Encodage-catégorisation_set1_14_03_22_2022.04.04_10.38.06.gph
# OutputFile: \\SRV-DATA2\PrediCog\EyeCog\Analyses\Analyses_Adrian\Ages\Pupille\Analyse sujet par sujet\BAa48_\Export_2023-05-10_17-12-51_categorisation.csv
# ExportDate: 10/05/2023 17:12:51
# AcquisitionSoftware: meyeParadigm
# AcqSoftwareVersion: 1.23
# PatientsName: ABa48 ABa48
# DateOfBirth: 11/11/1948
# ExamDate: 04/04/2022
# Comment: -
# 
# Device: EyeBrain_T2
# SampleRate(Hz): 300
# HeadScreenDistance(mm): 600
# ScreenSize[X,Y](mm): 478 269
# Resolution[X,Y](pix): 1920 1080
# 
# CalibrationQuality
# CorrelationLX: 1.00
# CorrelationLY: 1.00
# CorrelationRX: 1.00
# CorrelationRY: 1.00
Time (ms);LX (deg);LY (deg);RX (deg);RY (deg);LDX (pix);LDY (pix);RDX (pix);RDY (pix);Label;
0;3.735;-3.403;-2.234;-3.948;281;240;281;258;;
3;3.675;-3.326;-2.234;-3.948;283;240;279;252;;
6;3.735;-3.403;-2.173;-3.950;281;240;276;256;;
10;3.735;-3.403;-2.112;-3.951;285;240;281;245;;
13;3.735;-3.403;-2.230;-3.798;281;240;274;247;;
16;3.794;-3.399;-2.173;-3.950;281;240;281;245;;
20;3.796;-3.481;-2.291;-3.797;283;240;279;251;;
23;3.735;-3.403;-2.356;-3.946;281;240;279;249;;
26;3.794;-3.399;-2.173;-3.950;291;240;281;245;;
30;3.735;-3.403;-2.232;-3.873;285;240;274;247;;
33;3.737;-3.485;-2.110;-3.876;281;240;281;247;;
36;3.737;-3.485;-2.173;-3.950;288;240;276;245;;
40;3.675;-3.326;-2.236;-4.024;283;240;286;256;;
43;3.856;-3.558;-2.295;-3.947;295;244;277;245;;
46;3.737;-3.485;-2.297;-4.022;285;240;277;250;;
50;3.797;-3.563;-2.232;-3.873;293;242;281;254;;
53;3.854;-3.477;-2.295;-3.947;290;240;288;252;;
56;3.911;-3.390;-2.234;-3.948;293;240;288;258;;
60;3.854;-3.477;-2.297;-4.022;290;240;281;252;;
63;3.794;-3.399;-2.295;-3.947;288;242;283;258;;
66;3.735;-3.403;-2.234;-3.948;288;240;284;252;;
70;3.854;-3.477;-2.293;-3.872;288;240;281;256;;
73;3.678;-3.489;-2.293;-3.872;295;240;288;247;;
76;3.737;-3.485;-2.295;-3.947;291;240;286;258;;
80;3.734;-3.321;-2.232;-3.873;284;243;288;256;;
83;3.737;-3.485;-2.290;-3.721;281;240;277;251;;
86;3.797;-3.563;-2.171;-3.874;290;240;286;247;;
90;3.677;-3.407;-2.234;-3.948;301;240;292;256;;
93;3.794;-3.399;-2.173;-3.950;293;240;284;245;;
97;3.677;-3.407;-2.169;-3.799;286;240;276;249;;
100;3.737;-3.485;-2.232;-3.873;286;240;288;253;;
103;3.794;-3.399;-2.352;-3.795;285;240;288;247;;
107;3.735;-3.403;-2.234;-3.948;297;240;281;258;;
110;3.797;-3.563;-2.297;-4.022;288;240;288;247;;
113;3.796;-3.481;-2.171;-3.874;293;242;284;256;;
117;3.735;-3.403;-2.234;-3.948;288;240;282;252;;
120;3.796;-3.481;-2.232;-3.873;299;242;279;254;;
123;3.796;-3.481;-2.354;-3.871;291;240;283;258;;
127;3.677;-3.407;-2.232;-3.873;290;240;290;256;;
130;3.678;-3.489;-2.295;-3.947;297;240;284;245;;
133;3.737;-3.485;-2.293;-3.872;304;242;290;258;;
137;3.732;-3.239;-2.356;-3.946;295;240;290;258;;
140;3.678;-3.489;-2.297;-4.022;290;242;288;256;;
143;3.678;-3.489;-2.291;-3.797;299;240;286;253;;
147;3.561;-3.498;-2.295;-3.947;290;240;288;256;;
150;3.616;-3.330;-2.171;-3.874;288;240;281;247;;
154;3.792;-3.317;-2.297;-4.022;299;240;292;265;;
157;3.616;-3.330;-2.234;-3.948;292;240;290;265;;
160;3.735;-3.403;-2.234;-3.948;299;240;292;260;;
163;3.852;-3.395;-2.358;-4.021;288;240;288;263;;
167;3.675;-3.326;-2.234;-3.948;301;243;286;245;;
170;3.677;-3.407;-2.232;-3.873;299;240;290;265;;
174;3.735;-3.403;-2.298;-4.098;293;240;290;263;;
177;3.792;-3.317;-2.356;-3.946;304;242;283;254;;
180;3.559;-3.416;-2.232;-3.873;288;240;290;262;;
184;3.734;-3.321;-2.293;-3.872;301;243;288;256;;
187;3.852;-3.395;-2.293;-3.872;297;240;286;254;;
190;3.618;-3.412;-2.171;-3.874;300;240;279;260;;
194;3.677;-3.407;-2.354;-3.871;299;240;288;258;;
197;3.735;-3.403;-2.232;-3.873;301;240;290;260;;
200;3.677;-3.407;-2.234;-3.948;292;240;281;256;;
204;3.852;-3.395;-2.234;-3.948;299;240;288;256;;
207;3.677;-3.407;-2.236;-4.024;301;240;292;263;;
210;3.734;-3.321;-2.234;-3.948;301;243;290;260;;
214;3.735;-3.403;-2.297;-4.022;295;240;290;263;;
217;3.618;-3.412;-2.234;-3.948;290;240;288;256;;
220;3.737;-3.485;-2.293;-3.872;301;245;290;260;;
224;3.735;-3.403;-2.236;-4.024;295;240;292;267;;
227;3.790;-3.235;-2.295;-3.947;304;247;290;265;;
230;3.735;-3.403;-2.236;-4.024;301;240;292;265;Fixation=ani_art_set1_I_03: trial n°0; 
234;3.735;-3.403;-2.234;-3.948;299;240;288;254;;
237;3.735;-3.403;-2.113;-4.026;301;240;297;269;;
240;3.851;-3.313;-2.234;-3.948;297;240;290;265;;
244;3.735;-3.403;-2.175;-4.025;304;240;292;262;;
247;3.794;-3.399;-2.236;-4.024;301;243;290;256;;
250;3.734;-3.321;-2.236;-4.024;299;240;288;256;;
254;3.734;-3.321;-2.117;-4.176;301;243;283;249;;
257;3.735;-3.403;-2.236;-4.024;293;240;290;256;;
260;3.734;-3.321;-2.237;-4.099;297;240;279;254;;
264;3.794;-3.399;-2.175;-4.025;301;240;295;267;;
267;3.734;-3.321;-2.117;-4.176;299;243;290;256;;
271;3.792;-3.317;-2.173;-3.950;304;243;295;265;;
274;3.852;-3.395;-2.234;-3.948;304;242;292;267;;
277;3.737;-3.485;-2.295;-3.947;301;245;290;265;;
281;3.737;-3.485;-2.176;-4.100;304;242;288;261;;
284;3.794;-3.399;-2.175;-4.025;301;240;290;269;;
287;3.737;-3.485;-2.175;-4.025;304;242;292;265;;
291;3.794;-3.399;-2.236;-4.024;299;240;295;267;;
294;3.852;-3.395;-2.175;-4.025;304;240;290;265;;
