# ExportGPHVersion: 1.22
# InputFile: \\SRV-DATA2\PrediCog\EyeCog\Analyses\Analyses_Adrian\Jeunes\Pupille\Analyse sujet par sujet\BAj97_\BAj97\BAj97_Encodage-categorisation_set2_14_03_22_2022.05.27_21.47.50.gph
# OutputFile: \\SRV-DATA2\PrediCog\EyeCog\Analyses\Analyses_Adrian\Jeunes\Pupille\Analyse sujet par sujet\BAj97_\BAj97\Export_2023-03-24_17-04-52_categorisation.csv
# ExportDate: 24/03/2023 17:04:52
# AcquisitionSoftware: meyeParadigm
# AcqSoftwareVersion: 1.23
# PatientsName: BAj97 BAj97
# DateOfBirth: 01/01/1997
# ExamDate: 27/05/2022
# Comment: -
# 
# Device: EyeBrain_T2
# SampleRate(Hz): 300
# HeadScreenDistance(mm): 600
# ScreenSize[X,Y](mm): 478 269
# Resolution[X,Y](pix): 1920 1080
# 
# CalibrationQuality
# CorrelationLX: 1.00
# CorrelationLY: 1.00
# CorrelationRX: 1.00
# CorrelationRY: 1.00
Time (ms);LX (deg);LY (deg);RX (deg);RY (deg);LDX (pix);LDY (pix);RDX (pix);RDY (pix);Label;
2;2.225;10.155;-3.130;9.193;377;386;384;393;;
5;2.300;10.156;-3.139;8.999;364;384;384;393;;
8;2.300;10.156;-3.135;9.096;379;393;384;393;;
11;2.375;10.060;-2.988;8.896;373;391;393;395;Fixation=obj_art_set2_C_05: trial n°0; 
15;2.300;10.156;-2.984;8.993;375;384;386;395;;
18;2.374;10.255;-3.071;8.802;373;386;384;397;;
21;2.225;10.155;-3.130;9.193;368;384;381;393;;
25;2.150;10.153;-3.144;8.902;366;382;387;393;;
28;2.299;10.253;-3.203;9.292;379;393;381;393;;
32;2.299;10.253;-3.144;8.902;371;384;391;397;;
35;2.374;10.157;-3.271;9.488;382;393;381;393;;
38;2.226;10.057;-3.066;8.899;377;391;384;395;;
42;2.375;10.060;-3.281;9.295;382;395;381;393;;
45;2.373;10.450;-3.066;8.899;373;388;389;397;;
48;2.301;9.961;-3.071;8.802;384;395;389;397;;
52;2.373;10.352;-3.144;8.902;373;386;384;395;;
55;2.299;10.351;-3.071;8.802;373;382;386;397;;
58;2.300;10.156;-3.066;8.899;371;386;388;395;;
62;2.375;10.060;-3.066;8.899;382;395;386;395;;
65;2.374;10.255;-2.984;8.993;377;388;388;393;;
68;2.374;10.157;-3.062;8.996;382;393;386;395;;
72;2.448;10.354;-3.066;8.899;377;388;384;395;;
75;2.374;10.157;-3.144;8.902;377;388;389;395;;
78;2.375;10.060;-2.993;8.799;382;391;390;397;;
82;2.300;10.058;-3.066;8.899;379;391;386;397;;
85;2.374;10.157;-2.993;8.799;382;393;393;400;;
88;2.300;10.156;-3.075;8.704;377;391;388;400;;
92;2.300;10.156;-3.071;8.802;377;386;386;400;;
95;2.375;10.060;-3.075;8.704;382;395;396;400;;
98;2.301;9.863;-3.057;9.093;382;395;390;397;;
102;2.374;10.157;-3.066;8.899;382;393;381;393;;
105;2.376;9.962;-2.988;8.896;382;397;388;395;;
108;2.374;10.157;-2.993;8.799;382;395;396;400;;
112;2.450;9.964;-3.066;8.899;380;395;391;395;;
115;2.375;10.060;-2.993;8.799;382;389;390;400;;
119;2.449;10.159;-3.075;8.704;380;390;393;400;;
122;2.449;10.159;-3.066;8.899;382;395;391;395;;
125;2.450;10.061;-2.988;8.896;377;388;390;395;;
129;2.450;10.061;-3.071;8.802;380;393;390;397;;
132;2.449;10.159;-2.993;8.799;382;393;390;400;;
135;2.451;9.866;-3.075;8.704;384;400;393;400;;
139;2.450;9.964;-2.993;8.799;382;393;396;400;;
