# ExportGPHVersion: 1.22
# InputFile: \\SRV-DATA2\PrediCog\EyeCog\Analyses\Analyses_Adrian\Categorisation\BLa56\BLa56_Encodage-categorisation_set2_14_03_22_2023.04.13_10.31.16.gph
# OutputFile: \\SRV-DATA2\PrediCog\EyeCog\Analyses\Analyses_Adrian\Categorisation\BLa56\Export_2023-07-17_08-47-50_categorisation.csv
# ExportDate: 17/07/2023 08:47:50
# AcquisitionSoftware: meyeParadigm
# AcqSoftwareVersion: 1.23
# PatientsName: BLa56 BLa56
# DateOfBirth: 01/01/1956
# ExamDate: 13/04/2023
# Comment: -
# 
# Device: EyeBrain_T2
# SampleRate(Hz): 300
# HeadScreenDistance(mm): 600
# ScreenSize[X,Y](mm): 478 269
# Resolution[X,Y](pix): 1920 1080
# 
# CalibrationQuality
# CorrelationLX: 1.00
# CorrelationLY: 1.00
# CorrelationRX: 1.00
# CorrelationRY: 1.00
Time (ms);LX (deg);LY (deg);RX (deg);RY (deg);LDX (pix);LDY (pix);RDX (pix);RDY (pix);Label;
2;-0.441;-0.135;-9.084;0.906;418;384;452;459;;
5;-0.586;-0.006;-9.008;0.912;420;320;452;450;;
8;-0.847;2.725;-9.008;0.912;407;256;452;454;;
11;-0.703;1.085;-9.084;0.906;402;320;452;452;;
15;0.167;0.766;-9.004;0.831;412;288;450;454;;
18;-0.856;0.844;-9.008;0.912;416;320;452;459;;
21;-0.143;0.054;-9.012;0.994;422;387;452;452;;
25;-0.220;-0.106;-9.087;0.988;427;386;452;450;;
28;-0.887;-0.419;-9.004;0.831;402;350;452;461;;
32;-0.960;-0.354;-9.159;0.900;398;256;452;448;;
35;-0.362;0.173;-9.084;0.906;422;379;450;450;;
38;-0.434;0.238;-9.080;0.825;418;386;450;459;;
42;-0.878;0.029;-9.159;0.900;416;384;450;448;;
45;0.084;0.383;-9.084;0.906;416;384;454;450;;
48;-1.033;-0.363;-9.155;0.819;416;400;452;459;;
52;-0.330;7.724;-9.008;0.912;302;128;450;450;;
55;-1.111;-0.597;-9.159;0.900;422;361;450;450;;
58;0.007;0.224;-9.076;0.743;423;386;452;461;;
62;0.222;-0.120;-9.080;0.825;384;320;452;459;;
65;-0.647;0.505;-9.155;0.819;414;352;445;454;;
68;-0.785;0.780;-9.076;0.743;397;318;452;459;;
72;-0.295;-0.190;-9.080;0.825;428;386;450;459;;
75;-0.288;0.183;-9.076;0.743;422;386;452;459;;
78;-0.520;-0.445;-9.076;0.743;411;349;452;459;;
82;-0.368;-0.125;-9.080;0.825;422;384;452;464;;
85;-0.739;-0.324;-9.080;0.825;413;384;450;457;;
88;-0.294;-0.116;-9.159;0.900;422;384;445;448;;
92;-0.656;0.133;-9.080;0.825;396;350;452;454;;
95;-0.198;0.862;-9.076;0.743;418;320;452;459;;
98;-0.149;-0.246;-9.000;0.749;413;349;452;461;;
102;-0.586;-0.006;-9.076;0.743;412;379;452;461;;
105;-1.111;-0.597;-9.080;0.825;406;384;450;452;;
108;-0.067;0.214;-9.004;0.831;411;349;452;461;;
112;-0.737;-0.250;-9.076;0.743;418;393;450;450;;
115;-0.494;0.747;-9.080;0.825;414;318;452;461;;
119;-0.509;0.153;-9.155;0.819;422;386;445;454;;
122;-0.457;-1.799;-9.151;0.737;381;320;452;461;;
125;-0.424;0.609;-9.151;0.737;402;352;452;461;;
129;-0.987;1.264;-9.076;0.743;418;286;452;461;;
132;-0.737;-0.250;-9.076;0.743;402;382;452;464;;
135;-0.292;-0.041;-9.000;0.749;418;377;454;464;;
139;-3.096;6.261;-9.072;0.662;370;96;452;464;;
142;-0.658;0.059;-9.076;0.743;416;384;450;464;;
145;-0.446;-0.435;-9.155;0.819;411;349;450;454;;
149;-0.443;-0.210;-9.000;0.749;418;386;454;461;;
152;-0.581;0.218;-9.076;0.743;409;352;454;461;;
155;-0.432;0.312;-9.076;0.743;406;341;452;464;;
159;-0.512;0.004;-9.155;0.819;395;320;445;452;;
162;0.079;6.473;-9.076;0.743;339;96;452;459;;
165;-0.950;0.094;-9.076;0.743;400;381;452;464;;
169;-0.296;-0.265;-9.155;0.819;418;384;450;454;;
172;-0.522;-0.595;-9.151;0.737;412;352;452;459;;
175;-1.531;0.238;-9.151;0.737;398;320;445;461;;
179;-1.032;-0.288;-9.151;0.737;411;381;450;461;;
182;-1.119;-1.275;-9.151;0.737;418;288;450;464;;
185;-0.224;-0.331;-9.147;0.656;418;390;452;464;;
189;0.067;-0.668;-9.151;0.737;393;352;450;459;;
192;-1.396;-0.188;-9.147;0.656;402;379;452;464;;
195;-0.435;0.163;-9.151;0.737;402;320;450;461;;
199;-0.740;-0.399;-9.227;0.731;418;384;445;461;;
202;-0.962;-0.503;-9.147;0.656;416;352;452;464;;
205;-1.970;1.920;-9.151;0.737;400;256;450;461;;
209;-0.512;0.004;-9.147;0.656;422;384;445;459;;
212;0.077;0.010;-9.147;0.656;411;381;445;461;;
216;-1.108;-0.448;-9.147;0.656;411;384;452;464;;
219;-0.741;-0.474;-9.147;0.656;427;382;452;467;;
222;-0.856;0.844;-9.147;0.656;411;316;450;464;;
226;-0.490;0.895;-9.147;0.656;427;320;450;464;;
229;-1.012;0.529;-9.147;0.656;407;314;452;464;;
232;-0.444;-0.285;-9.147;0.656;418;384;450;457;;
236;-0.366;-0.051;-9.072;0.662;427;384;445;464;;
239;-0.740;-0.399;-9.147;0.656;402;347;445;461;;
242;-0.815;-0.484;-9.147;0.656;402;381;452;464;;
246;0.345;7.055;-9.068;0.581;375;128;450;464;;
249;-0.792;0.559;-9.147;0.656;400;352;450;464;;
252;-0.979;1.484;-9.072;0.662;402;288;454;467;;
256;0.634;7.174;-9.072;0.662;370;128;452;464;;
259;-0.211;0.343;-9.072;0.662;418;352;452;464;;
262;-0.434;0.238;-9.151;0.737;427;381;452;461;;
266;-0.743;-0.549;-8.993;0.587;422;384;454;464;;
269;-0.486;6.375;-8.841;0.599;348;96;454;459;;
272;0.367;-0.326;-8.460;0.548;423;409;464;464;;
276;0.610;0.829;-8.081;0.579;398;309;464;464;;
279;1.971;7.349;-7.774;0.523;345;124;453;464;;
282;1.254;-0.734;-7.698;0.530;379;398;455;464;;
286;0.516;-0.230;-7.691;0.367;393;384;451;464;;
289;1.630;-0.301;-7.842;0.354;407;404;455;464;;
292;1.178;-1.740;-7.918;0.348;407;381;458;464;;
296;0.583;-1.130;-7.918;0.348;406;413;460;464;;
299;1.489;0.433;-7.994;0.341;389;288;464;464;;
303;1.405;-0.485;-7.918;0.348;418;398;458;464;;
306;0.657;-1.043;-7.994;0.341;381;288;460;464;;
309;1.976;-4.788;-7.998;0.423;374;192;462;464;;
