# ExportGPHVersion: 1.22
# InputFile: \\SRV-DATA2\PrediCog\EyeCog\Analyses\Analyses_Adrian\Categorisation\CAa58\CAa58_Encodage-categorisation_set2_14_03_22_2023.05.02_15.31.26.gph
# OutputFile: \\SRV-DATA2\PrediCog\EyeCog\Analyses\Analyses_Adrian\Categorisation\CAa58\Export_2023-07-17_08-52-07_categorisation.csv
# ExportDate: 17/07/2023 08:52:07
# AcquisitionSoftware: meyeParadigm
# AcqSoftwareVersion: 1.23
# PatientsName: CAa58 CAa58
# DateOfBirth: 01/01/1958
# ExamDate: 02/05/2023
# Comment: -
# 
# Device: EyeBrain_T2
# SampleRate(Hz): 300
# HeadScreenDistance(mm): 600
# ScreenSize[X,Y](mm): 478 269
# Resolution[X,Y](pix): 1920 1080
# 
# CalibrationQuality
# CorrelationLX: 1.00
# CorrelationLY: 1.00
# CorrelationRX: 1.00
# CorrelationRY: 1.00
Time (ms);LX (deg);LY (deg);RX (deg);RY (deg);LDX (pix);LDY (pix);RDX (pix);RDY (pix);Label;
2;3.700;1.933;-2.121;1.270;336;320;304;299;;
5;3.700;1.933;-2.030;1.264;336;318;302;301;;
8;3.700;1.933;-2.030;1.264;336;323;302;297;;
11;3.700;1.933;-2.029;1.386;336;325;304;301;;
15;3.969;2.091;-2.211;1.398;336;323;304;304;;
18;3.700;1.933;-2.121;1.148;336;325;304;299;;
22;3.700;1.933;-2.030;1.264;336;320;304;299;;
25;3.597;2.186;-2.028;1.509;336;327;304;297;;
28;3.865;2.344;-2.121;1.270;336;320;304;297;;
32;3.780;2.204;-2.120;1.392;336;323;304;304;;
35;3.700;1.933;-2.120;1.392;336;323;304;302;;
38;3.694;2.064;-2.029;1.386;336;320;304;302;;
42;3.785;2.073;-2.121;1.270;336;325;304;299;;
45;3.694;2.064;-2.120;1.392;336;323;304;302;;
48;3.877;2.082;-2.121;1.270;336;320;304;297;;
52;3.608;1.924;-2.121;1.270;336;330;304;301;;
55;3.602;2.055;-2.121;1.270;336;327;304;297;;
58;3.694;2.064;-2.211;1.398;336;330;304;304;;
62;3.700;1.933;-2.121;1.270;336;325;304;299;;
65;3.694;2.064;-2.119;1.514;336;325;304;297;;
68;3.706;1.802;-2.120;1.392;336;323;304;306;;
72;3.511;2.046;-2.120;1.392;336;325;304;302;;
75;3.688;2.195;-2.212;1.276;333;320;304;299;;
78;3.608;1.924;-2.211;1.398;336;323;304;299;;
82;3.700;1.933;-2.120;1.392;336;320;304;304;;
85;3.602;2.055;-2.211;1.398;336;327;304;304;;
88;3.511;2.046;-2.211;1.398;336;320;304;299;;
92;3.528;1.654;-2.121;1.270;336;323;304;302;;
95;3.608;1.924;-2.120;1.392;336;320;304;304;;
98;3.602;2.055;-2.120;1.392;336;320;304;302;;
102;3.517;1.915;-2.121;1.270;333;320;304;299;;
105;3.608;1.924;-2.120;1.392;336;325;304;302;;
109;3.608;1.924;-2.121;1.270;336;323;304;297;;
112;3.608;1.924;-2.120;1.392;336;320;304;304;;
115;3.608;1.924;-2.121;1.270;336;320;304;306;;
119;3.602;2.055;-2.121;1.270;336;323;304;304;;
122;3.871;2.213;-2.121;1.270;336;323;304;301;;
125;3.608;1.924;-2.121;1.270;336;323;304;304;;
129;3.780;2.204;-2.120;1.392;336;323;304;302;;
132;3.706;1.802;-2.210;1.520;336;320;304;306;;
135;3.505;2.177;-2.120;1.392;336;327;304;299;;
139;3.871;2.213;-2.211;1.398;336;325;304;302;;
142;3.602;2.055;-2.120;1.392;336;327;304;308;;
145;3.602;2.055;-2.029;1.386;336;323;304;302;;
149;3.791;1.942;-2.211;1.398;336;323;304;304;;
152;3.865;2.344;-2.121;1.270;336;327;304;295;;
155;3.608;1.924;-2.119;1.514;336;320;304;306;;
159;3.877;2.082;-2.121;1.270;336;320;304;302;;
162;3.694;2.064;-2.121;1.270;336;323;304;299;;
165;3.614;1.794;-2.120;1.392;336;323;304;304;;
169;3.700;1.933;-2.121;1.270;336;320;304;299;;
172;3.608;1.924;-2.119;1.514;336;323;304;308;;
175;3.608;1.924;-2.211;1.398;336;325;304;306;;
179;3.865;2.344;-2.119;1.514;336;325;304;306;;
182;3.877;2.082;-2.120;1.392;336;323;304;302;;
185;3.700;1.933;-2.119;1.514;336;323;304;304;;
189;3.694;2.064;-2.120;1.392;336;327;304;301;;
192;3.602;2.055;-2.120;1.392;336;325;304;304;;
195;3.785;2.073;-2.119;1.514;336;320;304;308;;
199;3.700;1.933;-2.211;1.398;336;320;304;299;;
202;3.608;1.924;-2.117;1.882;336;323;304;307;;
206;3.700;1.933;-2.120;1.392;336;320;304;306;;
209;3.700;1.933;-2.028;1.631;336;323;304;311;;
212;3.700;1.933;-2.119;1.637;336;323;304;309;;
216;3.877;2.082;-2.119;1.514;336;323;304;308;;
219;3.700;1.933;-2.210;1.520;336;323;304;306;;
222;3.620;1.663;-2.119;1.637;336;325;304;311;;
226;3.785;2.073;-2.119;1.637;336;325;304;309;;
229;3.602;2.055;-2.120;1.392;336;323;304;302;;
232;3.608;1.924;-2.119;1.514;336;320;304;308;;
236;3.700;1.933;-2.120;1.392;336;325;304;302;;
239;3.608;1.924;-2.119;1.514;336;320;304;306;;
242;3.602;2.055;-2.120;1.392;336;325;304;302;;
246;3.608;1.924;-2.210;1.520;336;320;304;306;;
249;3.780;2.204;-2.119;1.637;336;323;304;308;;
252;3.608;1.924;-2.119;1.637;333;323;304;311;;
256;3.523;1.785;-2.119;1.514;336;325;304;308;;
259;3.528;1.654;-2.120;1.392;336;323;304;308;;
262;3.608;1.924;-2.119;1.514;336;323;304;306;;
266;3.517;1.915;-2.210;1.520;333;320;304;308;;
269;3.602;2.055;-2.120;1.392;336;323;304;306;;
272;3.608;1.924;-2.210;1.642;336;320;304;306;;
276;3.431;1.776;-2.119;1.514;333;327;304;306;;
