# ExportGPHVersion: 1.22
# InputFile: \\SRV-DATA2\PrediCog\EyeCog\Analyses\Analyses_Adrian\Ages\Pupille\Analyse sujet par sujet\CDa51_\CDa51_Encodage-catégorisation_set2_inv_14_03_22_2022.04.05_11.31.25.gph
# OutputFile: \\SRV-DATA2\PrediCog\EyeCog\Analyses\Analyses_Adrian\Ages\Pupille\Analyse sujet par sujet\CDa51_\Export_2023-05-10_17-28-21_categorisation.csv
# ExportDate: 10/05/2023 17:28:21
# AcquisitionSoftware: meyeParadigm
# AcqSoftwareVersion: 1.23
# PatientsName: CDa51 CDa51
# DateOfBirth: 11/11/1951
# ExamDate: 05/04/2022
# Comment: -
# 
# Device: EyeBrain_T2
# SampleRate(Hz): 300
# HeadScreenDistance(mm): 600
# ScreenSize[X,Y](mm): 478 269
# Resolution[X,Y](pix): 1920 1080
# 
# CalibrationQuality
# CorrelationLX: 1.00
# CorrelationLY: 1.00
# CorrelationRX: 1.00
# CorrelationRY: 1.00
Time (ms);LX (deg);LY (deg);RX (deg);RY (deg);LDX (pix);LDY (pix);RDX (pix);RDY (pix);Label;
1;0.494;-0.824;-4.998;-0.940;365;349;391;363;;
4;0.612;-0.834;-5.082;-1.195;368;338;400;378;;
7;0.613;-0.914;-5.059;-0.932;363;354;400;364;;
11;0.495;-0.904;-5.074;-1.108;363;345;400;372;Fixation=ani_art_set2_I_15: trial n°0; 
14;0.496;-0.984;-5.074;-1.108;368;349;400;379;;
17;0.496;-0.984;-5.121;-0.925;368;345;400;373;;
21;0.496;-0.984;-5.074;-1.108;368;349;400;368;;
24;0.494;-0.824;-5.128;-1.013;365;343;400;368;;
27;0.554;-0.909;-5.128;-1.013;368;349;400;382;;
31;0.614;-0.994;-5.074;-1.108;368;345;400;370;;
34;0.437;-0.899;-5.074;-1.108;368;349;400;370;;
37;0.556;-1.068;-5.067;-1.020;368;345;400;372;;
41;0.554;-0.909;-5.067;-1.020;368;349;400;366;;
44;0.554;-0.909;-5.067;-1.020;368;354;400;377;;
47;0.554;-0.909;-5.013;-1.115;368;354;400;370;;
51;0.553;-0.829;-5.006;-1.027;361;345;398;370;;
54;0.496;-0.984;-5.006;-1.027;368;354;400;373;;
57;0.614;-0.994;-5.113;-0.837;368;345;398;372;;
61;0.614;-0.994;-4.929;-0.859;368;354;396;364;;
64;0.553;-0.829;-5.089;-1.283;368;345;400;378;;
67;0.555;-0.989;-5.067;-1.020;368;347;400;366;;
71;0.732;-1.003;-4.959;-1.210;366;347;400;372;;
74;0.615;-1.073;-4.944;-1.035;368;350;396;366;;
77;0.555;-0.989;-4.952;-1.122;368;349;394;361;;
81;0.556;-1.068;-5.067;-1.020;366;347;400;380;;
84;0.438;-0.979;-4.990;-0.852;368;347;398;370;;
87;0.613;-0.914;-4.952;-1.122;368;349;398;368;;
91;0.496;-0.984;-4.952;-1.122;368;354;396;375;;
94;0.497;-1.064;-5.067;-1.020;368;358;400;368;;
97;0.616;-1.153;-5.006;-1.027;368;347;398;368;;
101;0.611;-0.754;-5.105;-0.749;368;349;398;364;;
104;0.556;-1.068;-5.067;-1.020;365;347;397;368;;
108;0.497;-1.064;-5.052;-0.844;368;347;400;375;;
111;0.496;-0.984;-5.143;-1.188;368;347;400;375;;
114;0.556;-1.068;-5.067;-1.020;368;354;400;373;;
118;0.556;-1.068;-5.082;-1.195;368;347;400;368;;
121;0.556;-1.068;-5.006;-1.027;368;352;398;366;;
