# ExportGPHVersion: 1.22
# InputFile: \\SRV-DATA2\PrediCog\EyeCog\Analyses\Analyses_Adrian\Ages\Pupille\Analyse sujet par sujet\CLa55_\CLa55_Encodage-catégorisation_set1_14_03_22_2022.03.25_20.14.03.gph
# OutputFile: \\SRV-DATA2\PrediCog\EyeCog\Analyses\Analyses_Adrian\Ages\Pupille\Analyse sujet par sujet\CLa55_\Export_2023-05-10_17-37-54_categorisation.csv
# ExportDate: 10/05/2023 17:37:54
# AcquisitionSoftware: meyeParadigm
# AcqSoftwareVersion: 1.23
# PatientsName: CLa55 CLa55
# DateOfBirth: 11/11/1955
# ExamDate: 25/03/2022
# Comment: -
# 
# Device: EyeBrain_T2
# SampleRate(Hz): 300
# HeadScreenDistance(mm): 600
# ScreenSize[X,Y](mm): 478 269
# Resolution[X,Y](pix): 1920 1080
# 
# CalibrationQuality
# CorrelationLX: 1.00
# CorrelationLY: 1.00
# CorrelationRX: 1.00
# CorrelationRY: 1.00
Time (ms);LX (deg);LY (deg);RX (deg);RY (deg);LDX (pix);LDY (pix);RDX (pix);RDY (pix);Label;
2;4.298;0.476;-2.514;0.067;326;272;308;272;;
5;4.237;0.398;-2.514;0.067;336;277;306;272;;
8;4.238;0.476;-2.514;0.067;324;269;306;270;;
12;4.236;0.321;-2.511;0.246;332;272;304;272;Fixation=ani_art_set1_I_11: trial n°0; 
15;4.236;0.321;-2.581;0.068;329;272;304;272;;
25;4.296;0.321;-2.514;0.067;329;272;304;268;;
28;4.296;0.321;-2.513;0.157;334;272;308;272;;
32;4.417;0.399;-2.513;0.157;331;272;304;272;;
35;4.417;0.399;-2.447;0.066;336;275;308;272;;
38;4.355;0.322;-2.446;0.155;331;272;306;272;;
42;4.355;0.322;-2.513;0.157;334;272;306;272;;
45;4.355;0.322;-2.444;0.245;331;272;306;272;;
48;4.355;0.322;-2.513;0.157;329;275;304;272;;
52;4.417;0.399;-2.379;0.154;331;272;313;272;;
55;4.474;0.245;-2.379;0.154;331;272;313;272;;
58;4.355;0.322;-2.514;0.067;334;272;304;270;;
62;4.415;0.322;-2.379;0.154;331;272;313;272;;
65;4.234;0.244;-2.381;0.064;326;272;313;272;;
68;4.296;0.321;-2.447;0.066;326;272;310;272;;
72;4.415;0.322;-2.447;0.066;336;272;310;272;;
75;4.354;0.245;-2.381;0.064;332;272;310;272;;
78;4.354;0.245;-2.446;0.155;329;272;306;272;;
82;4.294;0.244;-2.381;0.064;329;272;310;272;;
85;4.414;0.245;-2.514;0.067;331;275;306;272;;
88;4.294;0.244;-2.446;0.155;332;272;306;272;;
92;4.414;0.245;-2.381;0.064;334;272;313;268;;
95;4.414;0.245;-2.379;0.154;331;272;313;272;;
98;4.474;0.245;-2.379;0.154;329;272;313;272;;
102;4.296;0.321;-2.379;0.154;329;272;313;272;;
105;4.413;0.168;-2.446;0.155;334;272;310;272;;
108;4.413;0.168;-2.312;0.153;333;272;313;272;;
112;4.353;0.167;-2.314;0.063;331;272;313;272;;
115;4.474;0.245;-2.312;0.153;331;272;313;272;;
119;4.414;0.245;-2.381;0.064;331;272;313;272;;
122;4.473;0.168;-2.447;0.066;333;272;308;270;;
125;4.474;0.245;-2.446;0.155;333;275;308;272;;
129;4.414;0.245;-2.446;0.155;336;275;310;272;;
132;4.474;0.245;-2.384;-0.115;333;272;313;266;;
135;4.413;0.168;-2.381;0.064;333;272;313;272;;
139;4.473;0.168;-2.447;0.066;333;272;310;272;;
142;4.534;0.246;-2.449;-0.024;336;275;308;272;;
145;4.473;0.168;-2.381;0.064;333;275;310;272;;
149;4.415;0.322;-2.446;0.155;333;275;316;272;;
152;4.475;0.323;-2.447;0.066;336;277;310;272;;
155;4.473;0.168;-2.446;0.155;333;272;306;272;;
159;4.473;0.168;-2.379;0.154;336;281;313;272;;
162;4.414;0.245;-2.381;0.064;336;272;313;272;;
165;4.474;0.245;-2.314;0.063;333;275;313;272;;
169;4.474;0.245;-2.446;0.155;333;275;310;272;;
172;4.473;0.168;-2.314;0.063;333;272;313;272;;
175;4.533;0.169;-2.381;0.064;333;272;313;272;;
179;4.533;0.169;-2.381;0.064;333;272;313;272;;
182;4.533;0.169;-2.314;0.063;333;272;313;272;;
185;4.533;0.169;-2.447;0.066;333;272;308;270;;
189;4.533;0.169;-2.381;0.064;333;272;313;272;;
192;4.534;0.246;-2.312;0.153;333;272;313;272;;
195;4.472;0.091;-2.379;0.154;333;272;313;272;;
199;4.473;0.168;-2.379;0.154;331;272;313;272;;
202;4.472;0.091;-2.312;0.153;333;272;315;272;;
206;4.473;0.168;-2.381;0.064;333;272;313;272;;
209;4.534;0.246;-2.449;-0.024;333;272;308;268;;
212;4.591;0.092;-2.381;0.064;333;272;313;272;;
216;4.533;0.169;-2.381;0.064;333;272;313;272;;
219;4.473;0.168;-2.583;-0.021;333;272;306;268;;
222;4.232;0.090;-2.717;-0.019;322;272;309;270;;
226;3.813;0.089;-3.053;-0.100;329;274;318;270;;
229;3.209;-0.138;-3.390;-0.269;334;281;324;266;;
232;2.968;-0.212;-3.858;-0.252;336;283;329;266;;
236;2.908;-0.211;-3.993;-0.336;336;281;326;266;;
239;2.968;-0.212;-3.859;-0.341;334;281;327;268;;
242;3.088;-0.214;-3.728;-0.436;334;283;329;266;;
246;3.209;-0.138;-3.592;-0.351;332;281;331;266;;
249;3.209;-0.138;-3.524;-0.264;330;276;325;266;;
252;3.150;-0.137;-3.657;-0.260;334;283;331;266;;
256;3.090;-0.137;-3.592;-0.351;334;278;332;266;;
259;3.150;-0.137;-3.524;-0.264;334;283;327;266;;
262;3.150;-0.137;-3.659;-0.349;332;278;329;266;;
266;3.088;-0.214;-3.724;-0.257;332;274;323;266;;
269;3.151;-0.060;-3.592;-0.351;332;274;325;266;;
272;3.091;-0.059;-3.726;-0.346;334;276;325;266;;
276;3.151;-0.060;-3.724;-0.257;334;274;329;266;;
279;3.150;-0.137;-3.793;-0.344;332;274;327;266;;
282;3.269;-0.139;-3.724;-0.257;327;270;329;266;;
286;3.269;-0.139;-3.656;-0.170;330;272;323;266;;
289;3.209;-0.138;-3.657;-0.260;327;272;320;266;;
292;3.331;-0.062;-3.589;-0.172;325;272;315;263;;
296;3.271;-0.061;-3.589;-0.172;327;272;320;263;;
299;3.271;-0.061;-3.587;-0.083;327;272;313;263;;
303;3.391;-0.063;-3.589;-0.172;325;272;318;263;;
306;3.331;-0.062;-3.654;-0.081;323;272;313;263;;
309;3.331;-0.062;-3.656;-0.170;323;272;302;259;;
313;3.209;-0.138;-3.722;-0.168;325;270;302;261;;
316;3.329;-0.139;-3.722;-0.168;318;270;302;256;;
319;3.450;-0.063;-3.722;-0.168;314;270;297;261;;
323;3.331;-0.062;-3.656;-0.170;315;270;293;256;;
326;3.392;0.015;-3.654;-0.081;308;272;295;254;;
329;3.389;-0.140;-3.591;-0.262;306;270;291;251;;
333;3.450;-0.063;-3.722;-0.168;306;268;295;253;;
336;3.450;-0.063;-3.722;-0.168;306;270;281;238;;
339;3.392;0.015;-3.787;-0.076;304;270;281;242;;
