# ExportGPHVersion: 1.22
# InputFile: \\SRV-DATA2\PrediCog\EyeCog\Analyses\Analyses_Adrian\Categorisation\EGj01\EGj01_Encodage-categorisation_set2_14_03_22_2024.03.05_11.37.01.gph
# OutputFile: \\SRV-DATA2\PrediCog\EyeCog\Analyses\Analyses_Adrian\Categorisation\EGj01\Export_2024-03-06_15-10-10_categorisation.csv
# ExportDate: 06/03/2024 15:10:10
# AcquisitionSoftware: meyeParadigm
# AcqSoftwareVersion: 1.23
# PatientsName: EGj01 EGj01
# DateOfBirth: 01/01/2001
# ExamDate: 05/03/2024
# Comment: -
# 
# Device: EyeBrain_T2
# SampleRate(Hz): 300
# HeadScreenDistance(mm): 600
# ScreenSize[X,Y](mm): 478 269
# Resolution[X,Y](pix): 1920 1080
# 
# CalibrationQuality
# CorrelationLX: 1.00
# CorrelationLY: 0.99
# CorrelationRX: 1.00
# CorrelationRY: 0.99
Time (ms);LX (deg);LY (deg);RX (deg);RY (deg);LDX (pix);LDY (pix);RDX (pix);RDY (pix);Label;
3;7.345;-6.449;1.794;-8.292;435;432;448;432;;
6;6.938;-6.778;1.727;-8.213;439;432;453;432;;
9;7.345;-6.449;1.794;-8.292;430;432;448;432;Fixation=obj_nat_set2_I_05: trial n°0; 
12;7.023;-6.878;1.727;-8.213;439;432;455;432;;
16;7.428;-6.445;1.805;-8.206;430;432;448;432;;
19;7.262;-6.452;1.805;-8.206;439;432;451;432;;
22;7.269;-6.764;1.706;-8.385;430;432;455;434;;
26;7.184;-6.664;1.386;-8.501;439;430;459;436;;
29;6.948;-7.192;1.046;-8.787;439;434;452;441;;
33;6.962;-7.709;0.695;-9.155;439;429;448;448;;
36;6.640;-8.030;0.344;-9.520;441;430;438;446;;
39;6.812;-8.230;0.147;-9.870;437;425;432;436;;
43;6.739;-8.541;-0.062;-10.301;437;422;432;448;;
46;6.261;-9.069;-0.238;-10.479;436;432;435;446;;
49;6.285;-9.681;-0.372;-10.899;436;432;432;435;;
53;6.769;-9.361;-0.560;-11.157;425;432;437;432;;
56;6.624;-9.877;-0.735;-11.332;420;430;446;436;;
59;6.315;-10.394;-0.684;-11.489;439;434;446;441;;
63;6.583;-10.795;-0.771;-11.576;420;430;444;443;;
66;6.344;-11.003;-0.809;-11.819;432;434;451;450;;
69;6.427;-11.001;-0.721;-11.733;432;430;442;448;;
73;6.029;-11.313;-0.809;-11.819;430;439;446;450;;
76;6.184;-11.107;-0.821;-11.900;427;434;451;454;;
79;6.096;-11.008;-0.884;-11.825;436;430;451;448;;
83;6.583;-10.795;-0.784;-11.658;420;432;442;441;;
86;5.864;-11.315;-0.809;-11.819;436;436;446;448;;
89;6.101;-11.109;-0.821;-11.900;436;428;448;454;;
93;5.864;-11.315;-0.834;-11.981;436;434;448;454;;
96;6.422;-10.900;-0.821;-11.900;425;428;446;450;;
99;5.951;-11.415;-0.834;-11.981;432;439;444;448;;
103;6.194;-11.310;-0.834;-11.981;432;435;444;450;;
106;6.252;-10.802;-0.896;-11.906;427;432;446;450;;
109;6.262;-11.005;-0.834;-11.981;439;432;442;446;;
113;6.515;-11.101;-0.834;-11.981;420;429;446;452;;
116;6.257;-10.903;-0.834;-11.981;432;437;444;450;;
120;6.019;-11.110;-0.834;-11.981;436;434;451;457;;
123;5.549;-11.623;-0.909;-11.987;436;439;446;452;;
126;6.014;-11.009;-0.909;-11.987;439;432;451;457;;
130;6.339;-10.902;-0.821;-11.900;421;425;446;450;;
133;5.936;-11.112;-0.834;-11.981;434;430;451;457;;
136;6.252;-10.802;-0.922;-12.067;420;428;451;457;;
140;5.611;-11.218;-0.846;-12.061;435;439;446;454;;
143;5.611;-11.218;-0.846;-12.061;435;436;446;454;;
146;5.848;-11.012;-0.834;-11.981;427;434;446;452;;
150;5.771;-11.115;-0.846;-12.061;425;430;448;457;;
153;6.164;-10.702;-0.909;-11.987;425;422;448;454;;
156;5.209;-11.425;-0.909;-11.987;439;436;451;457;;
160;6.174;-10.905;-0.846;-12.061;416;427;451;454;;
163;5.446;-11.221;-0.846;-12.061;435;439;446;452;;
166;5.127;-11.426;-0.771;-12.055;439;439;446;454;;
170;5.776;-11.216;-0.872;-12.222;428;432;446;457;;
173;5.853;-11.113;-0.872;-12.222;428;432;446;457;;
176;5.704;-11.419;-0.885;-12.302;437;435;446;455;;
180;6.096;-11.008;-0.797;-12.216;423;432;446;452;;
183;5.776;-11.216;-0.734;-12.290;425;435;439;450;;
186;6.096;-11.008;-0.835;-12.456;428;429;446;462;;
190;5.709;-11.520;-0.809;-12.296;434;432;446;455;;
193;5.632;-11.622;-0.898;-12.382;437;432;446;464;;
196;5.478;-11.825;-0.898;-12.382;437;434;446;455;;
200;5.395;-11.826;-0.835;-12.456;437;432;446;462;;
203;6.101;-11.109;-0.809;-12.296;423;432;446;457;;
207;5.709;-11.520;-0.822;-12.376;429;432;444;450;;
210;5.869;-11.416;-0.809;-12.296;423;432;446;457;;
213;5.864;-11.315;-0.809;-12.296;428;432;446;461;;
217;5.864;-11.315;-0.734;-12.290;419;432;442;457;;
220;6.014;-11.009;-0.721;-12.210;428;432;442;452;;
223;5.858;-11.214;-0.721;-12.210;423;432;444;450;;
227;5.853;-11.113;-0.784;-12.136;428;427;444;454;;
230;5.127;-11.426;-0.797;-12.216;439;439;442;454;;
233;5.766;-11.014;-0.771;-12.055;426;432;446;454;;
237;5.999;-10.705;-0.758;-11.975;426;428;446;457;;
240;6.164;-10.702;-0.746;-11.894;419;423;444;450;;
243;5.985;-10.401;-0.746;-11.894;423;425;446;450;;
247;5.518;-11.018;-0.570;-11.721;426;425;437;445;;
250;5.509;-10.815;75.177;33.964;423;428;206;121;;
253;6.072;-10.501;-0.733;-11.814;423;421;444;448;;
257;5.189;-11.022;-0.708;-11.652;426;423;444;443;;
260;6.159;-10.601;-0.721;-11.733;416;416;444;448;;
263;5.417;-10.614;-0.684;-11.489;426;430;442;441;;
267;5.494;-10.512;-0.723;-11.250;423;430;442;432;;
270;5.135;-9.808;-0.968;-10.861;428;432;448;439;;
273;5.248;-8.378;-0.966;-10.285;428;413;445;448;;
277;5.458;-7.037;-1.213;-9.212;428;412;443;423;;
280;4.633;-6.853;-1.598;-8.550;430;430;441;432;;
283;4.365;-5.520;-1.759;-7.864;429;411;434;432;;
287;4.437;-4.377;-1.881;-6.632;427;410;432;416;;
290;4.109;-3.867;-2.207;-5.835;425;413;432;432;;
294;4.112;-2.510;-2.313;-5.108;425;407;432;425;;
297;3.956;-1.782;-2.482;-3.999;425;400;432;414;;
300;3.884;-1.049;-2.610;-3.438;413;395;432;416;;
304;3.729;-0.634;-2.584;-2.866;418;398;430;423;;
307;3.577;-0.112;-2.646;-2.485;420;391;430;423;;
310;3.744;0.106;-2.631;-2.099;418;384;428;416;;
314;3.663;0.103;-2.467;-1.900;416;386;427;413;;
317;3.825;0.110;-2.549;-2.000;409;382;422;409;;
320;3.498;-0.010;-2.467;-1.900;416;387;425;411;;
324;3.577;-0.112;-2.546;-1.903;409;384;425;409;;
327;3.579;-0.007;-2.471;-1.997;406;373;422;409;;
330;3.501;0.096;-2.396;-2.092;402;368;425;400;;
334;3.168;-0.340;-2.467;-1.900;402;379;425;400;;
337;3.016;0.075;-2.467;-1.900;400;375;422;398;;
340;3.096;0.079;-2.392;-1.995;402;375;425;387;;
344;3.013;-0.030;-2.388;-1.898;400;368;422;387;;
347;3.175;-0.024;-2.388;-1.898;400;368;420;387;;
350;3.175;-0.024;-2.471;-1.997;400;366;416;384;;
354;2.928;-0.244;-2.306;-1.798;400;368;418;384;;
357;3.177;0.082;-2.388;-1.898;400;366;418;384;;
360;2.852;-0.036;-2.392;-1.995;400;368;411;384;;
364;3.263;0.297;-2.392;-1.995;398;366;413;384;;
367;3.094;-0.027;-2.313;-1.992;400;366;416;384;;
370;2.771;-0.039;-2.235;-1.989;400;368;409;384;;
374;2.849;-0.142;-2.238;-2.086;400;366;402;384;;
377;2.849;-0.142;-2.313;-1.992;400;366;403;384;;
381;3.177;0.082;-2.375;-1.508;400;363;402;382;;
384;3.092;-0.132;-2.238;-2.086;398;364;402;382;;
387;2.928;-0.244;-2.238;-2.086;400;366;398;380;;
391;3.256;-0.020;-2.156;-1.987;391;363;393;380;;
394;3.173;-0.129;-2.171;-2.373;393;359;396;368;;
397;3.009;-0.241;-2.152;-1.890;395;361;387;368;;
