# ExportGPHVersion: 1.22
# InputFile: \\SRV-DATA2\PrediCog\EyeCog\Analyses\Analyses_Adrian\Categorisation\EHj03\EHj03_Encodage-categorisation_set2_14_03_22_2023.07.18_10.51.38.gph
# OutputFile: \\SRV-DATA2\PrediCog\EyeCog\Analyses\Analyses_Adrian\Categorisation\EHj03\Export_2023-07-28_16-41-48.csv
# ExportDate: 28/07/2023 16:41:48
# AcquisitionSoftware: meyeParadigm
# AcqSoftwareVersion: 1.23
# PatientsName: EHj03 EHj03
# DateOfBirth: 01/01/2003
# ExamDate: 18/07/2023
# Comment: -
# 
# Device: EyeBrain_T2
# SampleRate(Hz): 300
# HeadScreenDistance(mm): 600
# ScreenSize[X,Y](mm): 478 269
# Resolution[X,Y](pix): 1920 1080
# 
# CalibrationQuality
# CorrelationLX: 1.00
# CorrelationLY: 1.00
# CorrelationRX: 1.00
# CorrelationRY: 1.00
Time (ms);LX (deg);LY (deg);RX (deg);RY (deg);LDX (pix);LDY (pix);RDX (pix);RDY (pix);Label;
0;-3.178;13.254;-7.555;13.192;412;377;428;397;;
3;-5.271;0.726;-7.545;13.108;0;0;428;400;;
6;-3.121;13.081;-7.597;12.936;418;395;434;400;;
10;-3.178;13.254;-7.494;13.280;414;386;423;388;;
13;-3.328;13.248;-7.607;13.019;416;400;430;400;;
16;-3.299;13.162;-7.565;13.275;422;402;423;395;;
20;-3.253;13.251;-7.607;13.019;418;386;432;400;;
23;-3.328;13.248;-7.555;13.192;422;410;428;395;;
26;-3.281;13.338;-7.659;12.847;412;398;432;400;;
30;-3.328;13.248;-7.669;12.931;422;398;432;400;;
33;-3.431;13.332;-7.587;12.852;413;404;430;402;;
36;-3.374;13.159;-7.730;12.842;413;393;432;402;;
40;-3.356;13.335;-7.688;13.098;414;393;432;400;;
43;-3.414;13.508;-7.536;13.025;416;409;430;400;;
46;-3.414;13.508;-7.730;12.842;416;393;432;400;;
50;-3.593;13.589;-7.597;12.936;418;418;432;400;;
53;-5.271;0.726;-7.750;13.009;0;0;432;400;;
56;-3.682;13.847;-7.841;13.171;416;402;432;397;;
60;-3.682;13.847;-7.779;13.260;422;402;430;393;;
63;-3.758;13.845;-7.708;13.265;416;406;430;395;;
66;-3.758;13.845;-7.760;13.093;416;409;430;397;;
70;-3.758;13.845;-7.779;13.260;411;400;430;400;;
73;-3.833;13.842;-7.769;13.176;413;400;430;400;;
76;-3.667;14.022;-7.750;13.009;416;400;432;400;;
80;-3.788;13.931;-7.688;13.098;413;398;432;400;;
83;-3.788;13.931;-7.799;13.426;411;402;430;397;;
87;-3.623;13.675;-7.779;13.260;425;413;432;400;;
90;-5.271;0.726;-7.750;13.009;0;0;432;400;;
93;-3.682;13.847;-7.769;13.176;420;406;432;400;;
96;-3.712;13.934;-7.789;13.343;422;406;432;393;;
100;-5.271;0.726;-7.799;13.426;0;0;432;397;;
103;-3.622;14.111;-7.789;13.343;418;402;432;400;;
107;-3.743;14.020;-7.727;13.432;420;402;428;397;;
110;-3.637;13.936;-7.708;13.265;422;411;430;397;;
113;-3.532;13.853;-7.698;13.181;425;409;430;400;;
116;-3.667;14.022;-7.646;13.353;420;400;428;395;;
120;-5.271;0.726;-7.626;13.187;0;0;430;400;;
123;-5.271;0.726;-7.708;13.265;0;0;428;397;;
127;-3.667;14.022;-7.688;13.098;418;402;434;405;;
130;-3.487;13.942;-7.617;13.103;429;402;432;400;;
133;-3.592;14.025;-7.636;13.270;425;400;430;400;;
137;-3.547;14.114;-7.636;13.270;416;402;428;397;;
140;-3.517;14.028;-7.760;13.093;425;400;432;400;;
143;-3.382;13.858;-7.484;13.197;425;413;428;400;;
147;-5.271;0.726;-7.688;13.098;0;0;430;400;;
150;-3.562;13.939;-7.727;13.432;427;402;430;393;;
153;-3.412;13.945;-7.708;13.265;422;411;432;400;;
157;-3.382;13.858;-7.698;13.181;429;416;430;400;;
160;-3.667;14.022;-7.585;13.442;420;402;430;395;;
163;-3.622;14.111;-7.545;13.108;425;402;428;400;;
167;-3.487;13.942;-7.688;13.098;427;409;432;400;;
