# ExportGPHVersion: 1.22
# InputFile: \\SRV-DATA2\PrediCog\EyeCog\Analyses\Analyses_Adrian\Jeunes\Pupille\Analyse sujet par sujet\FCj98_\FCj98\FCj98_Encodage-catégorisation_set1_14_03_22_2022.05.27_18.29.05.gph
# OutputFile: \\SRV-DATA2\PrediCog\EyeCog\Analyses\Analyses_Adrian\Jeunes\Pupille\Analyse sujet par sujet\FCj98_\FCj98\Export_2023-03-24_16-59-13_categorisation.csv
# ExportDate: 24/03/2023 16:59:13
# AcquisitionSoftware: meyeParadigm
# AcqSoftwareVersion: 1.23
# PatientsName: FCj98 FCj98
# DateOfBirth: 01/01/1998
# ExamDate: 27/05/2022
# Comment: -
# 
# Device: EyeBrain_T2
# SampleRate(Hz): 300
# HeadScreenDistance(mm): 600
# ScreenSize[X,Y](mm): 478 269
# Resolution[X,Y](pix): 1920 1080
# 
# CalibrationQuality
# CorrelationLX: 1.00
# CorrelationLY: 1.00
# CorrelationRX: 1.00
# CorrelationRY: 1.00
Time (ms);LX (deg);LY (deg);RX (deg);RY (deg);LDX (pix);LDY (pix);RDX (pix);RDY (pix);Label;
2;1.961;8.674;-4.314;4.988;464;448;464;459;;
5;1.963;8.583;-4.314;4.988;464;443;464;459;;
8;1.889;8.672;-4.242;4.985;464;445;464;461;;
11;1.961;8.674;-4.314;4.988;464;445;464;459;;
15;1.889;8.672;-4.385;4.990;464;448;464;457;;
18;1.961;8.674;-4.319;4.897;464;448;464;459;;
22;1.961;8.674;-4.319;4.897;464;443;464;459;;
25;1.961;8.674;-4.248;4.894;464;441;464;461;;
28;1.963;8.583;-4.242;4.985;464;443;464;457;;
32;2.034;8.675;-4.248;4.894;464;443;464;455;;
35;1.963;8.583;-4.314;4.988;464;448;464;459;;
38;2.034;8.675;-4.319;4.897;464;443;464;457;;
42;2.034;8.675;-4.248;4.894;464;443;464;455;;
45;1.963;8.583;-4.248;4.894;464;443;464;459;;
48;2.036;8.585;-4.319;4.897;464;443;464;455;;
52;2.036;8.585;-4.242;4.985;464;445;464;457;;
55;2.105;8.768;-4.248;4.894;464;438;464;455;;
58;2.036;8.585;-4.248;4.894;464;445;464;453;;
62;2.036;8.585;-4.319;4.897;464;438;464;459;;
