# ExportGPHVersion: 1.22
# InputFile: \\SRV-DATA2\PrediCog\EyeCog\Analyses\Analyses_Adrian\Jeunes\Pupille\Analyse sujet par sujet\FTj00_\FTj00\FTj00_Encodage-catégorisation_set2_14_03_22_2022.03.21_08.49.10.gph
# OutputFile: \\SRV-DATA2\PrediCog\EyeCog\Analyses\Analyses_Adrian\Jeunes\Pupille\Analyse sujet par sujet\FTj00_\Export_2023-03-24_16-42-55_categorisation.csv
# ExportDate: 24/03/2023 16:42:55
# AcquisitionSoftware: meyeParadigm
# AcqSoftwareVersion: 1.23
# PatientsName: FTj00 FTj00
# DateOfBirth: 11/11/2000
# ExamDate: 21/03/2022
# Comment: -
# 
# Device: EyeBrain_T2
# SampleRate(Hz): 300
# HeadScreenDistance(mm): 600
# ScreenSize[X,Y](mm): 478 269
# Resolution[X,Y](pix): 1920 1080
# 
# CalibrationQuality
# CorrelationLX: 1.00
# CorrelationLY: 1.00
# CorrelationRX: 1.00
# CorrelationRY: 1.00
Time (ms);LX (deg);LY (deg);RX (deg);RY (deg);LDX (pix);LDY (pix);RDX (pix);RDY (pix);Label;
0;5.979;2.409;0.009;1.321;516;352;514;394;;
3;5.890;2.509;0.180;1.412;517;352;508;371;;
6;5.896;2.405;0.093;1.318;519;352;512;387;;
10;5.728;2.396;0.093;1.318;524;352;512;368;Fixation=obj_nat_set2_I_02: trial n°0; 
13;5.728;2.396;0.268;1.604;507;352;510;378;;
16;5.817;2.297;0.182;1.510;516;352;505;371;;
19;5.645;2.392;0.097;1.513;517;352;505;378;;
23;5.812;2.401;-0.080;1.129;519;352;512;400;;
26;5.728;2.396;-0.500;1.244;522;352;521;389;;
30;-81.319;-15.951;0.182;1.510;251;208;510;368;;
33;5.650;2.289;0.095;1.416;521;352;512;373;;
36;5.655;2.185;-0.074;1.422;522;352;507;368;;
40;5.650;2.289;0.097;1.513;522;352;512;371;;
43;5.734;2.293;0.009;1.321;522;354;512;370;;
46;5.566;2.285;-0.426;0.752;505;352;565;389;;
50;5.572;2.181;-0.080;1.129;526;354;510;384;;
53;5.661;2.081;0.013;1.516;522;354;512;373;;
56;5.483;2.281;0.091;1.221;512;352;508;384;;
60;5.655;2.185;0.095;1.416;524;358;510;374;;
63;5.650;2.289;-0.334;1.139;519;352;512;398;;
66;5.645;2.392;-0.428;0.654;516;352;524;384;;
70;5.650;2.289;0.182;1.510;512;354;510;373;;
73;5.734;2.293;0.011;1.419;522;352;507;373;;
76;5.645;2.392;0.009;1.321;503;352;512;377;;
80;5.912;2.093;0.174;1.120;522;358;508;387;;
83;5.739;2.189;0.093;1.318;519;354;505;374;;
86;5.744;2.085;0.093;1.318;519;361;512;372;;
90;5.493;2.073;0.093;1.318;509;352;508;377;;
93;5.833;1.985;0.005;1.126;519;363;507;384;;
96;5.739;2.189;0.260;1.215;522;354;507;384;;
100;5.572;2.181;0.005;1.126;508;354;508;387;;
103;5.844;1.778;-0.001;0.833;515;368;512;384;;
106;5.661;2.081;0.253;0.824;522;354;510;384;;
110;5.655;2.185;0.091;1.221;522;352;508;381;;
113;5.833;1.985;0.253;0.824;519;358;510;384;;
116;5.493;2.073;0.005;1.126;507;354;512;384;;
120;5.661;2.081;-0.001;0.833;512;352;514;398;;
123;5.750;1.981;0.007;1.224;522;354;510;381;;
127;5.839;1.881;0.178;1.315;522;368;508;373;;
130;5.661;2.081;0.086;0.928;519;354;510;384;;
133;5.744;2.085;0.095;1.416;522;352;512;375;;
137;5.744;2.085;0.084;0.830;522;352;510;384;;
140;5.661;2.081;0.011;1.419;517;352;514;387;;
143;5.833;1.985;-0.003;0.735;533;356;508;387;;
147;5.666;1.977;0.093;1.318;512;352;512;370;;
150;5.750;1.981;0.172;1.022;522;358;510;384;;
153;5.766;1.670;-0.001;0.833;522;368;510;384;;
157;5.939;1.574;0.180;1.412;522;368;510;370;;
160;5.687;1.562;-0.078;1.227;516;368;510;389;;
163;60.316;135.414;0.009;1.321;354;96;510;370;;
167;5.766;1.670;0.011;1.419;524;368;509;371;;
170;5.404;2.173;-0.078;1.227;509;354;507;384;;
173;5.598;1.662;-0.080;1.129;512;368;512;381;;
177;5.777;1.462;0.084;0.830;522;368;512;384;;
180;5.861;1.466;-0.086;0.836;524;368;512;384;;
183;5.855;1.570;-0.341;0.748;522;368;507;387;;
187;5.766;1.670;-0.078;1.227;522;368;512;384;;
190;5.598;1.662;-0.080;1.129;505;368;514;400;;
193;5.693;1.458;-0.086;0.836;526;368;507;387;;
197;5.687;1.562;0.001;0.931;519;368;507;387;;
200;5.614;1.351;0.005;1.126;519;368;512;400;;
203;5.771;1.566;-0.086;0.836;510;368;510;384;;
207;26.073;49.685;0.091;1.221;496;352;512;379;;
210;5.782;1.359;-0.082;1.032;519;368;509;384;;
214;5.777;1.462;-0.086;0.836;517;368;507;384;;
217;5.698;1.355;0.001;0.931;517;368;510;384;;
220;5.598;1.662;0.082;0.732;510;368;515;384;;
224;5.698;1.355;-0.086;0.836;505;368;509;387;;
227;5.950;1.367;-0.001;0.833;537;368;503;384;;
230;5.861;1.466;0.001;0.931;507;368;508;384;;
234;5.530;1.347;-0.003;0.735;508;368;505;387;;
237;29.082;53.220;-0.341;0.748;560;336;510;389;;
240;4.689;1.311;-1.098;0.977;530;368;500;400;;
244;4.334;1.713;-1.434;1.090;528;368;496;402;;
247;4.175;1.500;-1.689;1.005;528;368;499;394;;
250;3.811;2.111;-2.021;1.218;525;354;503;387;;
254;3.479;1.996;-2.433;1.533;521;354;514;400;;
257;3.576;1.688;-2.532;1.050;514;368;512;400;;
260;3.307;2.095;-2.778;1.260;512;352;507;400;;
264;3.391;2.097;-2.856;1.460;514;354;505;396;;
267;3.408;1.682;-3.034;1.178;514;371;498;391;;
270;3.497;1.581;-3.027;1.373;514;368;496;396;;
274;3.665;1.586;-2.869;1.070;523;368;496;394;;
277;3.492;1.685;-2.950;1.173;512;368;496;398;;
280;3.576;1.688;-3.034;1.178;514;371;496;400;;
284;3.421;1.371;-2.869;1.070;518;368;496;405;;
287;3.332;1.473;-3.037;1.080;512;368;494;400;;
290;3.240;1.678;-3.034;1.178;496;368;494;398;;
294;3.155;1.675;-2.866;1.168;498;368;494;398;;
297;3.160;1.571;-3.289;1.096;496;368;517;402;;
301;3.155;1.675;-2.863;1.265;496;368;487;400;;
304;3.244;1.574;-3.027;1.373;496;368;492;418;;
307;3.084;1.362;-2.863;1.265;496;368;480;403;;
311;3.155;1.675;-2.947;1.270;496;368;478;402;;
314;3.244;1.574;-2.863;1.265;496;368;482;400;;
317;3.075;1.569;-2.947;1.270;496;373;476;400;;
321;3.168;1.364;-2.778;1.260;496;368;471;402;;
324;3.328;1.576;-2.947;1.270;496;368;474;406;;
327;3.088;1.258;-2.697;1.158;496;368;469;400;;
331;3.345;1.162;-2.863;1.265;496;368;471;400;;
334;3.252;1.366;-2.863;1.265;496;368;469;402;;
337;3.008;1.152;-2.697;1.158;496;368;469;400;;
341;3.257;1.263;-2.863;1.265;496;368;469;400;;
344;3.008;1.152;-2.782;1.163;498;368;467;400;;
347;3.261;1.159;-2.700;1.060;494;368;467;407;;
