# ExportGPHVersion: 1.22
# InputFile: \\SRV-DATA2\PrediCog\EyeCog\Analyses\Analyses_Adrian\Categorisation\IPa62\IPa62_Encodage-categorisation_set2_14_03_22_2024.04.09_18.00.14.gph
# OutputFile: \\SRV-DATA2\PrediCog\EyeCog\Analyses\Analyses_Adrian\Categorisation\IPa62\Export_2024-04-11_19-59-38_categorisation.csv
# ExportDate: 11/04/2024 19:59:38
# AcquisitionSoftware: meyeParadigm
# AcqSoftwareVersion: 1.23
# PatientsName: IPa62 IPa62
# DateOfBirth: 01/01/1962
# ExamDate: 09/04/2024
# Comment: -
# 
# Device: EyeBrain_T2
# SampleRate(Hz): 300
# HeadScreenDistance(mm): 600
# ScreenSize[X,Y](mm): 478 269
# Resolution[X,Y](pix): 1920 1080
# 
# CalibrationQuality
# CorrelationLX: 1.00
# CorrelationLY: 1.00
# CorrelationRX: 1.00
# CorrelationRY: 1.00
Time (ms);LX (deg);LY (deg);RX (deg);RY (deg);LDX (pix);LDY (pix);RDX (pix);RDY (pix);Label;
0;6.635;15.598;0.529;15.490;405;377;428;409;;
3;6.717;15.518;0.536;15.410;407;377;425;402;;
6;6.641;15.516;0.550;15.248;405;375;425;411;;
9;6.419;15.427;0.617;15.333;407;377;428;404;;
13;6.577;15.350;0.617;15.333;407;377;423;406;;
16;6.431;15.263;0.454;15.486;411;375;427;402;;
20;6.565;15.514;0.550;15.248;409;368;425;406;;
23;6.495;15.430;0.522;15.571;409;375;428;397;;
26;6.654;15.352;0.536;15.410;409;379;425;400;;
30;6.495;15.430;0.536;15.410;407;375;426;402;;
33;6.584;15.267;0.603;15.494;407;377;426;404;;
36;6.508;15.265;0.603;15.494;407;379;423;402;;
40;6.584;15.267;0.522;15.571;405;370;426;402;;
43;6.501;15.347;0.670;15.579;409;379;426;402;;
46;6.723;15.436;0.610;15.413;407;375;430;406;;
50;6.508;15.265;0.522;15.571;409;379;420;397;;
53;6.419;15.427;0.684;15.418;409;382;426;402;;
56;6.641;15.516;0.596;15.575;405;377;426;397;;
60;6.641;15.516;0.670;15.579;407;379;421;397;;
63;6.711;15.600;0.433;15.729;407;377;421;397;;
66;6.482;15.594;0.522;15.571;409;380;423;400;;
70;6.571;15.432;0.507;15.733;407;377;423;398;;
73;6.711;15.600;0.603;15.494;402;366;426;402;;
76;6.501;15.347;0.589;15.656;409;384;426;397;;
80;6.635;15.598;0.514;15.652;409;375;426;405;;
83;6.635;15.598;0.596;15.575;404;366;426;397;;
87;6.558;15.596;0.596;15.575;407;382;426;405;;
90;6.558;15.596;0.596;15.575;409;377;426;402;;
93;6.488;15.512;0.670;15.579;409;375;426;409;;
96;6.781;15.684;0.603;15.494;402;377;420;397;;
100;6.495;15.430;0.603;15.494;409;377;426;402;;
103;6.635;15.598;0.677;15.498;407;368;426;406;;
107;6.508;15.265;0.603;15.494;407;377;426;402;;
110;6.425;15.345;0.617;15.333;409;366;426;409;;
113;6.508;15.265;0.772;15.260;405;377;426;409;;
117;6.793;15.520;0.617;15.333;404;364;426;406;;
120;6.946;15.525;0.691;15.337;398;365;426;406;;
123;6.571;15.432;0.610;15.413;407;368;426;402;;
127;6.672;15.105;0.705;15.175;402;374;428;409;;
130;6.514;15.183;0.610;15.413;412;377;426;402;;
133;6.577;15.350;0.677;15.498;404;377;426;402;;
137;6.584;15.267;0.677;15.498;405;379;426;402;;
140;6.577;15.350;0.765;15.341;402;373;426;402;;
143;6.584;15.267;0.745;15.583;407;382;421;400;;
147;6.590;15.185;0.758;15.422;407;379;426;402;;
150;6.501;15.347;0.603;15.494;409;386;426;404;;
153;6.488;15.512;0.677;15.498;407;382;426;397;;
157;6.647;15.434;0.663;15.660;407;381;426;397;;
160;6.552;15.678;0.589;15.656;407;361;426;397;;
163;6.425;15.345;0.596;15.575;409;386;426;397;;
167;6.622;15.762;0.582;15.737;409;373;428;400;;
170;6.552;15.678;0.514;15.652;409;382;421;400;;
173;6.552;15.678;0.589;15.656;409;375;426;397;;
177;6.545;15.760;0.514;15.652;405;373;423;400;;
180;6.386;15.838;0.440;15.648;407;359;423;402;;
183;6.558;15.596;0.522;15.571;407;368;426;397;;
187;6.539;15.842;0.440;15.648;409;380;427;412;;
190;6.412;15.510;0.365;15.644;411;384;425;397;;
193;6.609;15.925;0.529;15.490;400;358;423;402;;
197;6.406;15.592;0.447;15.567;409;372;427;407;;
200;6.482;15.594;0.373;15.563;409;375;425;405;;
204;6.190;15.421;0.447;15.567;414;384;423;397;;
207;6.469;15.758;0.373;15.563;409;373;425;405;;
210;6.266;15.423;0.454;15.486;414;382;425;397;;
214;6.399;15.674;0.454;15.486;409;377;423;402;;
217;6.392;15.756;0.373;15.563;407;377;423;405;;
220;6.539;15.842;0.380;15.482;407;368;427;405;;
224;6.558;15.596;0.373;15.563;407;368;423;402;Fixation=ani_art_set2_I_09: trial n°0; 
227;6.475;15.676;0.522;15.571;407;375;428;397;;
230;6.482;15.594;0.447;15.567;407;380;425;397;;
234;6.406;15.592;0.447;15.567;411;384;423;402;;
237;6.622;15.762;0.529;15.490;405;382;425;397;;
240;6.342;15.425;0.522;15.571;409;382;428;400;;
244;6.419;15.427;0.596;15.575;409;384;425;402;;
247;6.552;15.678;0.514;15.652;402;364;425;397;;
250;6.349;15.343;0.447;15.567;407;384;427;402;;
254;6.603;16.007;0.596;15.575;409;371;430;400;;
257;6.768;15.848;0.529;15.490;402;363;425;402;;
260;6.419;15.427;0.603;15.494;407;379;426;407;;
264;6.545;15.760;0.440;15.648;405;371;423;402;;
267;6.775;15.766;0.596;15.575;407;377;425;405;;
270;6.552;15.678;0.670;15.579;409;380;426;402;;
274;6.622;15.762;0.603;15.494;409;368;426;407;;
277;6.552;15.678;0.663;15.660;409;370;426;400;;
280;6.698;15.764;0.589;15.656;409;377;426;397;;
284;6.552;15.678;0.677;15.498;409;384;423;397;;
287;6.705;15.682;0.589;15.656;400;380;426;400;;
291;6.552;15.678;0.670;15.579;409;370;426;397;;
294;6.482;15.594;0.596;15.575;413;384;426;405;;
297;6.552;15.678;0.663;15.660;409;382;419;397;;
301;6.635;15.598;0.522;15.571;409;384;428;397;;
304;6.552;15.678;0.440;15.648;409;382;428;397;;
307;6.482;15.594;0.670;15.579;407;377;426;404;;
311;6.762;15.929;0.440;15.648;409;380;420;397;;
314;6.552;15.678;0.589;15.656;407;382;426;397;;
317;6.832;16.013;0.663;15.660;400;368;426;409;;
321;6.412;15.510;0.589;15.656;409;377;423;397;;
324;6.545;15.760;0.596;15.575;409;382;426;397;;
327;6.552;15.678;0.596;15.575;409;384;428;405;;
331;6.399;15.674;0.596;15.575;409;377;426;400;;
334;6.545;15.760;0.589;15.656;409;377;416;397;;
337;6.412;15.510;0.582;15.737;407;373;426;402;;
