# ExportGPHVersion: 1.22
# InputFile: \\SRV-DATA2\PrediCog\EyeCog\Analyses\Analyses_Adrian\Categorisation\JMj03\JMj03_Encodage-categorisation_set2_14_03_22_2023.07.20_10.51.50.gph
# OutputFile: \\SRV-DATA2\PrediCog\EyeCog\Analyses\Analyses_Adrian\Categorisation\JMj03\Export_2023-07-28_16-45-32_categorisation.csv
# ExportDate: 28/07/2023 16:45:32
# AcquisitionSoftware: meyeParadigm
# AcqSoftwareVersion: 1.23
# PatientsName: JMj03 JMj03
# DateOfBirth: 01/01/2003
# ExamDate: 20/07/2023
# Comment: -
# 
# Device: EyeBrain_T2
# SampleRate(Hz): 300
# HeadScreenDistance(mm): 600
# ScreenSize[X,Y](mm): 478 269
# Resolution[X,Y](pix): 1920 1080
# 
# CalibrationQuality
# CorrelationLX: 1.00
# CorrelationLY: 1.00
# CorrelationRX: 1.00
# CorrelationRY: 1.00
Time (ms);LX (deg);LY (deg);RX (deg);RY (deg);LDX (pix);LDY (pix);RDX (pix);RDY (pix);Label;
0;0.865;9.552;-6.174;3.882;356;144;336;282;;
3;1.066;-0.651;-5.792;1.563;386;379;329;348;;
6;1.017;0.072;-6.628;1.776;386;375;343;345;;
10;2.552;1.131;-6.201;-0.083;386;372;331;308;;
13;1.776;1.461;-6.380;2.213;391;352;363;370;;
16;1.034;0.612;-6.291;1.539;390;352;342;370;;
20;0.605;0.647;-6.073;1.603;379;352;352;373;;
23;2.114;0.799;-5.944;2.341;377;357;315;288;;
26;1.017;0.072;-5.889;2.144;386;382;343;366;;
30;1.086;-0.024;-6.053;0.938;390;379;331;373;;
33;1.268;1.227;-6.172;1.238;397;352;334;366;;
36;1.125;1.239;-5.675;3.059;388;352;313;316;;
40;1.839;1.183;-5.907;2.808;373;355;322;304;;
43;1.403;0.944;-5.757;1.086;397;355;400;400;;
46;2.043;0.804;-4.792;4.358;386;380;340;247;;
50;1.620;1.018;-6.165;1.332;395;352;326;256;;
53;1.408;1.125;-6.116;1.041;402;352;326;349;;
56;1.298;-0.132;-6.279;-0.166;384;377;350;315;;
60;0.458;0.569;-5.757;1.086;396;355;400;398;;
63;0.945;0.078;-6.448;0.426;384;382;323;347;;
66;2.043;0.804;-6.059;1.790;381;382;339;340;;
70;0.721;-0.173;-5.487;2.751;391;381;338;316;;
73;1.519;0.031;-5.961;1.209;384;393;354;366;;
76;1.651;-0.340;-6.468;1.092;384;345;345;342;;
80;1.224;-0.215;-6.051;1.883;397;379;363;377;;
83;0.757;0.906;-5.892;2.995;390;320;338;350;;
87;0.885;0.443;-5.869;1.480;390;352;332;345;;
90;1.362;-0.407;-5.588;1.441;390;381;338;373;;
93;1.892;0.544;-6.152;0.573;395;381;329;288;;
97;0.991;-0.734;-6.109;0.188;395;384;332;301;;
100;1.662;0.019;-5.835;1.002;390;384;400;398;;
103;1.224;-0.215;-6.875;1.340;390;382;363;378;;
