# ExportGPHVersion: 1.22
# InputFile: \\SRV-DATA2\PrediCog\EyeCog\Analyses\Analyses_Adrian\Categorisation\LAj04\LAj04_Encodage-categorisation_set2_14_03_22_2023.05.16_14.32.05.gph
# OutputFile: \\SRV-DATA2\PrediCog\EyeCog\Analyses\Analyses_Adrian\Categorisation\LAj04\Export_2023-07-17_09-06-47_categorisation.csv
# ExportDate: 17/07/2023 09:06:47
# AcquisitionSoftware: meyeParadigm
# AcqSoftwareVersion: 1.23
# PatientsName: LAj04 LAj04
# DateOfBirth: 01/01/2004
# ExamDate: 16/05/2023
# Comment: -
# 
# Device: EyeBrain_T2
# SampleRate(Hz): 300
# HeadScreenDistance(mm): 600
# ScreenSize[X,Y](mm): 478 269
# Resolution[X,Y](pix): 1920 1080
# 
# CalibrationQuality
# CorrelationLX: 1.00
# CorrelationLY: 1.00
# CorrelationRX: 1.00
# CorrelationRY: 1.00
Time (ms);LX (deg);LY (deg);RX (deg);RY (deg);LDX (pix);LDY (pix);RDX (pix);RDY (pix);Label;
2;0.869;-0.184;-4.992;-3.233;361;331;368;356;;
5;1.057;0.196;-4.903;-3.231;361;329;368;361;;
8;0.781;-0.061;-4.814;-3.229;364;327;368;361;;
11;0.962;-0.057;-4.903;-3.231;359;322;368;356;Fixation=ani_art_set2_I_12: trial n°0; 
15;1.053;-0.055;-4.814;-3.229;362;332;368;358;;
18;1.049;-0.305;-4.819;-3.116;359;324;368;358;;
21;1.053;-0.055;-4.717;-3.453;362;322;368;365;;
25;1.051;-0.180;-4.814;-3.229;359;326;368;361;;
28;0.960;-0.182;-4.810;-3.342;364;331;368;363;;
32;1.234;-0.050;-4.721;-3.340;362;332;368;361;;
42;0.956;-0.432;-4.806;-3.455;362;322;368;361;;
45;1.139;-0.303;-4.721;-3.340;362;327;368;363;;
48;1.045;-0.554;-4.810;-3.342;362;320;368;358;;
52;1.049;-0.305;-4.801;-3.568;362;324;368;363;;
55;1.230;-0.300;-4.801;-3.568;362;329;368;363;;
58;1.226;-0.550;-4.717;-3.453;362;331;368;365;;
62;1.232;-0.175;-4.712;-3.566;362;341;368;365;;
65;1.228;-0.425;-4.717;-3.453;362;331;368;363;;
68;1.417;0.080;-4.712;-3.566;357;320;368;365;;
72;1.411;-0.295;-4.717;-3.453;362;338;368;363;;
75;1.137;-0.427;-4.708;-3.678;362;322;370;365;;
78;1.409;-0.420;-4.623;-3.564;362;338;368;363;;
82;1.228;-0.425;-4.623;-3.564;364;329;368;363;;
85;1.226;-0.550;-4.712;-3.566;362;333;368;363;;
88;1.318;-0.423;-4.712;-3.566;362;338;368;365;;
92;1.318;-0.423;-4.628;-3.451;364;341;368;363;;
95;1.318;-0.423;-4.717;-3.453;362;331;368;361;;
98;1.407;-0.545;-4.712;-3.566;355;325;368;365;;
102;1.316;-0.547;-4.712;-3.566;362;338;368;363;;
105;1.407;-0.545;-4.712;-3.566;362;331;368;363;;
108;1.322;-0.173;-4.712;-3.566;362;336;368;363;;
112;1.411;-0.295;-4.717;-3.453;362;327;368;361;;
115;1.407;-0.545;-4.708;-3.678;362;331;368;365;;
119;1.318;-0.423;-4.717;-3.453;362;327;368;363;;
122;1.407;-0.545;-4.721;-3.340;362;331;368;361;;
125;1.324;-0.048;-4.725;-3.227;362;350;368;358;;
129;1.500;-0.418;-4.721;-3.340;355;325;368;356;;
132;1.318;-0.423;-4.806;-3.455;359;329;368;363;;
135;1.316;-0.547;-4.810;-3.342;362;329;368;363;;
139;1.230;-0.300;-4.712;-3.566;359;331;368;363;;
142;1.409;-0.420;-4.717;-3.453;362;331;368;363;;
145;1.316;-0.547;-4.717;-3.453;362;336;368;361;;
149;1.318;-0.423;-4.712;-3.566;362;333;368;365;;
152;1.407;-0.545;-4.721;-3.340;362;331;368;361;;
155;1.409;-0.420;-4.721;-3.340;362;329;368;361;;
159;1.316;-0.547;-4.806;-3.455;359;331;368;365;;
162;1.407;-0.545;-4.717;-3.453;362;329;368;363;;
165;1.407;-0.545;-4.712;-3.566;362;336;368;365;;
169;1.316;-0.547;-4.806;-3.455;364;341;368;363;;
172;1.226;-0.550;-4.806;-3.455;362;325;368;361;;
175;1.500;-0.418;-4.619;-3.676;362;336;368;365;;
179;1.407;-0.545;-4.712;-3.566;362;336;368;365;;
182;1.496;-0.667;-4.806;-3.455;357;331;368;363;;
185;1.318;-0.423;-4.712;-3.566;362;334;368;365;;
189;1.409;-0.420;-4.712;-3.566;362;333;368;363;;
192;1.494;-0.792;-4.712;-3.566;362;338;368;365;;
