# ExportGPHVersion: 1.22
# InputFile: \\SRV-DATA2\PrediCog\EyeCog\Analyses\Analyses_Adrian\Jeunes\Pupille\Analyse sujet par sujet\LNj97_\LNj97\LNj97_Encodage-catégorisation_set1_14_03_22_2022.03.28_17.15.32.gph
# OutputFile: \\SRV-DATA2\PrediCog\EyeCog\Analyses\Analyses_Adrian\Jeunes\Pupille\Analyse sujet par sujet\LNj97_\LNj97\Export_2023-03-24_16-48-43_categorisation.csv
# ExportDate: 24/03/2023 16:48:43
# AcquisitionSoftware: meyeParadigm
# AcqSoftwareVersion: 1.23
# PatientsName: LNj97 LNj97
# DateOfBirth: 11/11/1997
# ExamDate: 28/03/2022
# Comment: -
# 
# Device: EyeBrain_T2
# SampleRate(Hz): 300
# HeadScreenDistance(mm): 600
# ScreenSize[X,Y](mm): 478 269
# Resolution[X,Y](pix): 1920 1080
# 
# CalibrationQuality
# CorrelationLX: 1.00
# CorrelationLY: 1.00
# CorrelationRX: 1.00
# CorrelationRY: 1.00
Time (ms);LX (deg);LY (deg);RX (deg);RY (deg);LDX (pix);LDY (pix);RDX (pix);RDY (pix);Label;
1;5.722;-0.786;0.005;-0.773;459;416;477;462;;
4;5.729;-0.975;0.002;-0.392;459;430;477;457;;
7;5.808;-1.255;-0.070;-0.681;461;430;477;455;;
11;5.855;-0.594;0.003;-0.487;459;414;480;459;Fixation=ani_nat_set1_C_09: trial n°0; 
14;5.722;-0.786;-0.071;-0.491;459;420;475;462;;
17;5.801;-1.067;0.003;-0.487;464;432;477;459;;
21;5.874;-1.160;0.080;-0.769;464;432;477;462;;
24;5.795;-0.879;0.003;-0.487;461;432;477;455;;
27;5.871;-1.066;-0.071;-0.586;464;430;475;455;;
31;5.944;-1.158;0.003;-0.487;464;432;477;462;;
41;5.941;-1.064;-0.071;-0.586;464;430;475;455;;
44;5.871;-1.066;0.005;-0.678;464;434;475;451;;
47;5.868;-0.971;0.004;-0.582;461;430;477;455;;
51;6.000;-0.779;-0.071;-0.491;461;430;477;462;;
54;5.941;-1.064;-0.071;-0.586;464;430;475;448;;
57;5.792;-0.785;-0.071;-0.586;464;414;475;458;;
61;6.010;-1.062;-0.221;-0.403;461;430;475;450;;
64;5.871;-1.066;0.080;-0.769;461;430;477;462;;
67;5.927;-0.687;-0.071;-0.586;461;427;477;462;;
71;5.868;-0.971;-0.071;-0.586;464;430;475;450;;
74;5.941;-1.064;0.005;-0.678;464;432;475;450;;
77;5.941;-1.064;0.003;-0.487;464;432;475;451;;
81;6.000;-0.779;0.006;-0.868;461;416;477;460;;
84;5.944;-1.158;0.005;-0.678;464;432;477;450;;
87;5.947;-1.252;0.004;-0.582;464;430;475;450;;
91;5.861;-0.783;0.003;-0.487;464;425;475;455;;
94;6.007;-0.968;-0.070;-0.681;464;432;475;443;;
98;5.868;-0.971;0.006;-0.868;464;429;475;457;;
101;5.795;-0.879;-0.070;-0.681;459;425;475;446;;
104;6.073;-0.872;-0.147;-0.304;464;432;475;452;;
108;5.871;-1.066;0.007;-0.963;461;430;477;458;;
111;5.808;-1.255;-0.071;-0.586;461;430;475;453;;
114;5.941;-1.064;0.006;-0.868;464;430;477;460;;
118;5.798;-0.973;-0.069;-0.777;464;430;473;448;;
121;5.927;-0.687;-0.071;-0.491;461;427;475;443;;
124;5.874;-1.160;-0.071;-0.586;461;432;475;452;;
128;5.874;-1.160;-0.069;-0.777;464;432;475;445;;
131;6.010;-1.062;-0.070;-0.681;464;430;475;455;;
134;5.944;-1.158;-0.147;-0.304;464;430;475;434;;
138;5.864;-0.877;-0.221;-0.403;461;425;470;448;;
141;6.007;-0.968;-0.144;-0.685;461;432;475;458;;
144;5.874;-1.160;0.007;-0.963;464;432;477;448;;
148;5.874;-1.160;0.007;-0.963;464;430;475;451;;
151;6.150;-1.058;-0.146;-0.495;464;430;477;448;;
154;6.007;-0.968;-0.071;-0.586;464;430;475;446;;
158;5.927;-0.687;-0.147;-0.304;464;418;475;450;;
161;6.017;-1.250;0.007;-0.963;464;430;475;458;;
164;5.868;-0.971;0.007;-0.963;461;428;477;460;;
168;5.941;-1.064;0.003;-0.487;464;435;475;457;;
171;6.010;-1.062;0.004;-0.582;464;428;473;448;;
174;5.931;-0.781;-0.144;-0.780;464;427;473;445;;
178;5.944;-1.158;0.006;-0.868;464;432;477;462;;
181;6.017;-1.250;-0.065;-1.156;464;432;477;460;;
185;6.007;-0.968;0.005;-0.773;464;434;475;446;;
188;5.944;-1.158;-0.066;-1.061;464;434;477;448;;
191;5.729;-0.975;-0.144;-0.780;461;423;470;448;;
195;6.083;-1.154;-0.219;-0.689;464;428;466;445;;
198;5.941;-1.064;-0.144;-0.780;464;432;475;451;;
201;5.941;-1.064;-0.066;-1.061;464;432;470;448;;
205;5.931;-0.781;-0.144;-0.780;464;425;473;448;;
208;5.878;-1.254;-0.294;-0.597;464;430;475;448;;
211;5.947;-1.252;-0.069;-0.777;464;434;475;448;;
215;6.004;-0.874;-0.065;-1.251;464;428;475;453;;
218;5.868;-0.971;0.007;-0.963;464;416;475;448;;
221;5.944;-1.158;0.006;-0.868;464;430;475;445;;
225;6.017;-1.250;0.082;-0.959;464;434;475;448;;
228;6.017;-1.250;0.005;-0.773;464;430;475;451;;
231;6.021;-1.344;-0.070;-0.681;464;426;475;445;;
235;6.146;-0.964;0.006;-0.868;464;430;477;445;;
238;6.160;-1.341;-0.071;-0.586;464;426;475;445;;
241;6.090;-1.342;0.007;-0.963;464;419;475;448;;
245;6.004;-0.874;0.007;-0.963;459;430;470;443;;
248;6.077;-0.966;-0.066;-1.061;459;405;470;451;;
251;6.010;-1.062;0.008;-1.058;464;428;475;451;;
255;6.090;-1.342;-0.144;-0.685;464;434;468;436;;
258;5.941;-1.064;-0.066;-1.061;461;414;477;458;;
261;6.080;-1.060;-0.218;-0.784;461;419;470;448;;
265;6.083;-1.154;-0.220;-0.594;464;419;473;445;;
268;6.087;-1.248;-0.220;-0.498;464;428;473;443;;
272;6.077;-0.966;-0.143;-0.875;464;419;466;448;;
275;6.083;-1.154;-0.295;-0.502;459;426;466;441;;
278;6.150;-1.058;-0.065;-1.156;461;419;470;448;;
282;6.156;-1.247;0.006;-0.868;461;421;475;445;;
285;6.083;-1.154;-0.069;-0.777;464;421;470;445;;
288;6.150;-1.058;-0.143;-0.875;464;411;466;446;;
292;6.163;-1.434;-0.215;-1.068;464;423;466;448;;
295;5.801;-1.067;-0.442;-0.699;459;430;464;448;;
298;5.576;-0.601;-0.591;-0.706;445;410;467;448;;
302;5.229;-0.608;-0.890;-0.624;438;414;478;445;;
305;4.739;-0.523;-1.489;0.020;446;416;480;439;;
308;4.391;-0.528;-1.856;-0.756;451;414;484;460;;
312;4.038;-0.343;-2.230;-0.292;464;416;470;457;;
315;3.763;-0.440;-2.601;-0.303;461;416;464;445;;
318;3.549;-0.253;-2.674;-0.590;448;416;464;462;;
322;3.343;-0.349;-2.824;-0.404;445;416;464;448;;
325;3.274;-0.349;-2.898;-0.311;443;414;464;441;;
328;3.207;-0.444;-2.972;-0.313;441;416;464;455;;
332;3.271;-0.255;-2.972;-0.313;436;414;464;441;;
335;3.135;-0.350;-3.122;0.161;432;410;464;425;;
338;3.135;-0.350;-3.046;-0.410;432;412;464;432;;
342;3.135;-0.350;-2.972;-0.408;432;412;464;437;;
345;3.207;-0.444;-3.270;0.062;434;410;464;432;;
348;3.210;-0.538;-3.122;0.065;432;403;464;418;;
352;3.068;-0.444;-3.046;-0.410;432;407;464;438;;
355;3.073;-0.632;-3.046;-0.599;432;400;464;445;;
358;3.140;-0.538;-3.121;-0.316;432;403;461;432;;
362;3.071;-0.538;-3.120;-0.506;432;400;464;432;;
365;3.073;-0.632;-3.270;-0.034;432;400;461;425;;
369;3.143;-0.632;-3.344;0.060;432;400;459;423;;
372;3.073;-0.632;-3.269;-0.224;432;400;461;430;;
375;3.210;-0.538;-3.269;-0.319;432;400;461;432;;
379;3.073;-0.632;-3.269;-0.414;432;400;459;434;;
382;3.076;-0.726;-3.418;-0.037;432;400;457;432;;
385;3.140;-0.538;-3.418;-0.132;432;400;461;428;;
