# ExportGPHVersion: 1.22
# InputFile: \\SRV-DATA2\PrediCog\EyeCog\Analyses\Analyses_Adrian\Categorisation\MEa42\MEa02_Encodage-categorisation_set2_14_03_22_2024.02.06_11.26.45.gph
# OutputFile: \\SRV-DATA2\PrediCog\EyeCog\Analyses\Analyses_Adrian\Categorisation\MEa42\Export_2024-03-01_15-33-50_categorisation.csv
# ExportDate: 01/03/2024 15:33:50
# AcquisitionSoftware: meyeParadigm
# AcqSoftwareVersion: 1.23
# PatientsName: MEa02 MEa02
# DateOfBirth: 01/01/1942
# ExamDate: 06/02/2024
# Comment: -
# 
# Device: EyeBrain_T2
# SampleRate(Hz): 300
# HeadScreenDistance(mm): 600
# ScreenSize[X,Y](mm): 478 269
# Resolution[X,Y](pix): 1920 1080
# 
# CalibrationQuality
# CorrelationLX: 1.00
# CorrelationLY: 0.99
# CorrelationRX: 1.00
# CorrelationRY: 0.99
Time (ms);LX (deg);LY (deg);RX (deg);RY (deg);LDX (pix);LDY (pix);RDX (pix);RDY (pix);Label;
0;-2.383;16.341;-6.920;13.024;441;405;407;384;;
3;-2.458;16.444;-6.920;13.024;441;407;410;391;;
6;-2.238;16.349;-6.920;13.024;441;402;410;386;;
9;-2.453;16.229;-6.991;13.018;444;405;410;388;;
13;-2.383;16.341;-6.843;12.935;446;407;407;386;;
16;-2.383;16.341;-6.914;12.928;446;410;407;388;;
20;-2.386;16.448;-6.920;13.024;446;414;407;388;;
23;-2.381;16.233;-6.843;12.935;437;407;407;391;;
26;-2.311;16.345;-6.843;12.935;443;407;410;388;;
29;-2.383;16.341;-6.985;12.922;441;410;410;386;;
33;-2.163;16.246;-6.777;13.037;441;405;407;393;;
36;-2.163;16.246;-6.848;13.030;439;403;410;386;;
40;-2.233;16.134;-6.843;12.935;439;405;407;388;;
43;-2.094;16.358;-6.914;12.928;441;398;410;394;;
46;-2.161;16.139;-6.843;12.935;439;403;407;386;;
50;-2.166;16.354;-6.914;12.928;441;412;410;388;;
53;-2.169;16.461;-6.837;12.839;441;412;407;384;;
56;-2.094;16.358;-6.777;13.037;444;410;407;393;;
60;-2.094;16.358;-6.771;12.941;444;400;403;384;;
63;-2.163;16.246;-6.843;12.935;441;407;407;388;;
66;-2.094;16.358;-6.848;13.030;439;410;407;393;;
70;-2.096;16.466;-6.771;12.941;444;402;405;384;;
73;-2.021;16.363;-6.848;13.030;444;409;410;393;;
76;-2.096;16.466;-6.854;13.126;439;410;405;388;;
80;-2.166;16.354;-6.843;12.935;439;400;410;388;;
83;-2.094;16.358;-6.777;13.037;444;407;410;393;;
86;-2.094;16.358;-6.777;13.037;444;407;409;388;;
90;-2.169;16.461;-6.848;13.030;441;407;407;393;;
93;-2.238;16.349;-6.920;13.024;444;407;407;388;;
97;-2.094;16.358;-6.843;12.935;441;407;407;386;;
100;-2.166;16.354;-6.914;12.928;439;403;410;388;;
103;-2.241;16.457;-6.848;13.030;439;407;407;393;;
106;-2.163;16.246;-6.848;13.030;439;403;410;393;;
110;-2.241;16.457;-6.914;12.928;439;412;410;384;;
113;-2.316;16.560;-6.837;12.839;441;412;407;384;;
117;-2.316;16.560;-6.908;12.833;448;414;410;384;;
120;-2.238;16.349;-6.985;12.922;439;410;410;388;;
123;-2.241;16.457;-6.914;12.928;439;404;410;391;;
127;-2.316;16.560;-6.979;12.826;446;414;412;388;;
130;-2.314;16.452;-6.985;12.922;437;407;410;386;;
133;-2.386;16.448;-7.056;12.916;448;414;410;388;;
137;-2.461;16.552;-6.985;12.922;444;414;410;386;;
140;-2.389;16.556;-7.056;12.916;446;416;412;391;;
143;-2.386;16.448;-7.056;12.916;444;414;412;386;;
147;-2.389;16.556;-7.056;12.916;436;414;410;386;;
150;-2.461;16.552;-7.056;12.916;446;416;412;394;;
153;-2.244;16.564;-6.985;12.922;439;407;412;388;;
157;-2.319;16.668;-6.991;13.018;437;409;410;388;;
160;-2.314;16.452;-7.062;13.011;439;407;412;388;;
163;-2.389;16.556;-6.997;13.113;446;414;410;388;;
167;-2.389;16.556;-6.985;12.922;446;414;410;388;;
170;-2.316;16.560;-6.979;12.826;441;414;412;387;;
174;-2.316;16.560;-7.068;13.107;439;414;414;395;;
177;-2.316;16.560;-6.985;12.922;441;414;410;389;;
180;-2.244;16.564;-6.920;13.024;441;414;410;388;;
183;-2.244;16.564;-6.914;12.928;441;416;410;394;;
187;-2.241;16.457;-6.908;12.833;444;422;410;394;;
190;-2.169;16.461;-6.908;12.833;439;407;410;387;;
193;-2.238;16.349;-6.914;12.928;441;407;410;386;;
197;-2.244;16.564;-6.914;12.928;444;414;407;379;;
200;-2.169;16.461;-6.914;12.928;444;412;410;386;;
203;-2.169;16.461;-6.908;12.833;439;412;410;386;;
207;-2.096;16.466;-6.914;12.928;444;410;410;386;;
210;-2.163;16.246;-6.908;12.833;441;405;410;389;;
214;-2.094;16.358;-6.908;12.833;441;412;410;381;;
217;-2.169;16.461;-6.914;12.928;444;412;410;386;;
220;-2.166;16.354;-6.908;12.833;441;410;410;391;;
224;-2.094;16.358;-6.837;12.839;444;403;407;384;;
227;-2.030;16.686;-6.908;12.833;444;413;410;391;;
230;-2.169;16.461;-6.914;12.928;441;412;410;394;Fixation=ani_art_set2_I_08: trial n°0; 
234;-2.102;16.681;-6.914;12.928;444;416;410;394;;
237;-2.096;16.466;-6.843;12.935;441;404;410;391;;
240;-2.174;16.677;-6.908;12.833;444;416;410;391;;
244;-2.099;16.573;-6.920;13.024;441;414;410;394;;
247;-2.241;16.457;-6.908;12.833;444;414;410;391;;
250;-2.172;16.569;-6.908;12.833;441;416;410;396;;
254;-2.099;16.573;-6.914;12.928;444;414;410;384;;
257;-2.241;16.457;-6.908;12.833;439;414;410;396;;
260;-2.247;16.672;-6.914;12.928;441;409;410;396;;
264;-2.250;16.780;-6.914;12.928;446;416;410;396;;
267;-2.247;16.672;-6.920;13.024;441;416;410;396;;
270;-2.244;16.564;-6.908;12.833;443;416;410;388;;
274;-2.247;16.672;-6.920;13.024;441;416;410;393;;
277;-2.319;16.668;-6.979;12.826;453;416;410;389;;
280;-2.244;16.564;-6.908;12.833;443;416;410;384;;
284;-2.247;16.672;-7.056;12.916;451;416;410;391;;
287;-2.316;16.560;-7.056;12.916;441;416;412;398;;
290;-2.319;16.668;-6.979;12.826;445;413;410;388;;
294;-2.316;16.560;-7.051;12.820;441;414;412;391;;
297;-2.247;16.672;-7.056;12.916;448;416;414;394;;
301;-2.316;16.560;-6.985;12.922;446;416;412;391;;
304;-2.389;16.556;-7.127;12.909;446;416;414;391;;
307;-2.316;16.560;-7.127;12.909;451;416;416;394;;
311;-2.389;16.556;-7.051;12.820;441;412;414;391;;
314;-2.316;16.560;-7.051;12.820;443;416;421;389;;
317;-2.319;16.668;-6.985;12.922;448;416;410;396;;
321;-2.319;16.668;-6.997;13.113;446;416;410;398;;
324;-2.244;16.564;-6.979;12.826;448;416;412;391;;
327;-2.250;16.780;-6.985;12.922;441;416;416;395;;
331;-2.319;16.668;-6.914;12.928;448;416;410;396;;
334;-2.177;16.784;-6.985;12.922;441;416;410;396;;
337;-2.319;16.668;-6.974;12.731;443;414;412;393;;
341;-2.319;16.668;-7.056;12.916;451;418;414;398;;
344;-2.244;16.564;-6.991;13.018;437;414;410;396;;
347;-2.174;16.677;-6.991;13.018;448;418;410;391;;
351;-2.174;16.677;-6.979;12.826;441;416;412;391;;
354;-2.247;16.672;-6.985;12.922;444;416;412;396;;
357;-2.247;16.672;-6.908;12.833;444;416;407;391;;
361;-2.174;16.677;-6.985;12.922;441;416;410;394;;
364;-2.174;16.677;-6.985;12.922;446;416;410;391;;
367;-2.099;16.573;-6.908;12.833;444;416;407;391;;
371;-2.174;16.677;-6.908;12.833;444;416;410;389;;
374;-2.174;16.677;-6.902;12.737;441;416;410;389;;
377;-2.102;16.681;-6.837;12.839;444;416;410;387;;
381;-2.174;16.677;-6.914;12.928;444;413;412;398;;
384;-2.102;16.681;-6.914;12.928;444;416;412;394;;
388;-2.174;16.677;-6.914;12.928;441;411;410;398;;
391;-2.177;16.784;-6.837;12.839;444;413;412;396;;
394;-2.102;16.681;-6.914;12.928;444;414;407;391;;
398;-2.105;16.789;-6.908;12.833;441;416;410;394;;
401;-2.105;16.789;-6.908;12.833;444;416;410;396;;
404;-2.102;16.681;-6.831;12.743;444;416;407;387;;
408;-2.102;16.681;-6.914;12.928;444;416;410;400;;
411;-2.105;16.789;-6.985;12.922;444;416;410;394;;
414;-2.102;16.681;-6.902;12.737;444;418;410;387;;
418;-2.105;16.789;-6.979;12.826;444;416;412;391;;
