# ExportGPHVersion: 1.22
# InputFile: \\SRV-DATA2\PrediCog\EyeCog\Analyses\Analyses_Adrian\Categorisation\NNj00\NNj00_Encodage-categorisation_set2_14_03_22_2024.04.10_18.12.38.gph
# OutputFile: \\SRV-DATA2\PrediCog\EyeCog\Analyses\Analyses_Adrian\Categorisation\NNj00\Export_2024-04-11_20-02-09_categorisation.csv
# ExportDate: 11/04/2024 20:02:09
# AcquisitionSoftware: meyeParadigm
# AcqSoftwareVersion: 1.23
# PatientsName: NNj00 NNj00
# DateOfBirth: 01/01/2000
# ExamDate: 10/04/2024
# Comment: -
# 
# Device: EyeBrain_T2
# SampleRate(Hz): 300
# HeadScreenDistance(mm): 600
# ScreenSize[X,Y](mm): 478 269
# Resolution[X,Y](pix): 1920 1080
# 
# CalibrationQuality
# CorrelationLX: 1.00
# CorrelationLY: 1.00
# CorrelationRX: 1.00
# CorrelationRY: 1.00
Time (ms);LX (deg);LY (deg);RX (deg);RY (deg);LDX (pix);LDY (pix);RDX (pix);RDY (pix);Label;
3;5.713;-0.788;0.970;-0.089;390;391;432;432;;
6;5.592;-1.068;0.909;-0.093;393;394;432;432;;
9;5.530;-1.164;0.978;-0.176;393;391;432;432;Fixation=obj_nat_set2_I_05: trial n°0; 
13;5.908;-0.764;1.039;-0.172;390;381;432;432;;
16;5.587;-0.892;0.909;-0.093;388;389;432;432;;
19;5.592;-1.068;0.909;-0.093;390;391;432;432;;
22;5.654;-0.972;1.047;-0.258;393;391;432;432;;
26;5.661;-1.236;0.917;-0.179;393;386;432;432;;
29;5.719;-0.964;0.917;-0.179;388;384;432;432;;
33;5.599;-1.331;0.917;-0.179;393;389;432;432;;
36;5.656;-1.060;0.909;-0.093;390;384;432;432;;
39;5.908;-0.764;0.986;-0.262;388;384;432;432;;
43;5.599;-1.331;0.986;-0.262;388;389;432;432;;
46;5.721;-1.052;1.108;-0.254;395;387;432;432;;
49;5.721;-1.052;0.970;-0.089;388;384;432;432;;
53;5.594;-1.156;0.970;-0.089;393;387;432;432;;
56;5.594;-1.156;1.047;-0.258;393;384;432;432;;
59;5.664;-1.323;0.978;-0.176;390;386;432;432;;
63;5.597;-1.244;0.970;-0.089;395;389;432;432;;
66;5.721;-1.052;1.047;-0.258;395;393;432;432;;
69;5.850;-1.036;1.168;-0.250;381;384;432;432;;
73;5.656;-1.060;1.039;-0.172;395;391;432;432;;
76;5.592;-1.068;0.986;-0.262;393;391;432;432;;
79;5.530;-1.164;1.047;-0.258;388;389;432;432;;
83;5.395;-1.004;0.804;-0.273;374;384;432;432;;
86;4.753;-1.169;0.205;-0.395;380;377;455;432;;
89;4.105;-1.066;-0.515;-0.520;370;381;432;430;;
93;3.144;-1.169;-1.063;-0.547;371;377;435;432;;
96;2.701;-1.302;-1.618;-0.484;382;381;460;432;;
99;2.258;-1.432;-1.869;-0.407;396;381;448;432;;
103;2.643;-1.483;-1.671;-0.573;384;381;453;432;;
106;2.770;-1.470;-1.367;-0.560;382;381;448;432;;
109;3.153;-1.432;-1.131;-0.463;381;379;439;432;;
