# ExportGPHVersion: 1.22
# InputFile: \\SRV-DATA2\PrediCog\EyeCog\Analyses\Analyses_Adrian\Categorisation\PJj01\PJj01_Encodage-categorisation_set2_14_03_22_2024.04.11_10.39.06.gph
# OutputFile: \\SRV-DATA2\PrediCog\EyeCog\Analyses\Analyses_Adrian\Categorisation\PJj01\Export_2024-04-12_14-32-17_categorisation.csv
# ExportDate: 12/04/2024 14:32:17
# AcquisitionSoftware: meyeParadigm
# AcqSoftwareVersion: 1.23
# PatientsName: PJj01 PJj01
# DateOfBirth: 01/01/2001
# ExamDate: 11/04/2024
# Comment: -
# 
# Device: EyeBrain_T2
# SampleRate(Hz): 300
# HeadScreenDistance(mm): 600
# ScreenSize[X,Y](mm): 478 269
# Resolution[X,Y](pix): 1920 1080
# 
# CalibrationQuality
# CorrelationLX: 1.00
# CorrelationLY: 1.00
# CorrelationRX: 1.00
# CorrelationRY: 1.00
Time (ms);LX (deg);LY (deg);RX (deg);RY (deg);LDX (pix);LDY (pix);RDX (pix);RDY (pix);Label;
0;-11.952;0.273;-17.527;2.282;437;459;522;505;;
3;-11.952;0.273;-17.383;2.092;437;459;510;491;;
6;-11.711;0.350;-17.381;2.360;436;459;510;500;;
10;-11.311;0.325;-16.875;2.233;448;459;496;505;Fixation=ani_nat_set2_C_13: trial n°0; 
13;-10.429;0.643;-16.076;2.444;464;448;514;498;;
16;-8.990;0.753;-14.480;2.343;445;450;496;489;;
20;-7.554;1.059;-12.736;2.520;462;445;524;489;;
23;-5.882;1.369;-11.064;2.629;461;435;528;480;;
26;-4.532;1.703;-10.044;3.135;464;442;507;480;;
30;-3.026;1.948;-8.516;2.826;464;448;517;469;;
40;0.604;3.039;-5.089;3.872;453;437;509;459;;
43;2.017;4.088;-3.700;3.426;459;432;528;471;;
46;2.255;3.609;-3.628;3.607;464;444;519;464;;
50;2.721;4.667;-3.409;3.700;464;444;526;484;;
53;2.255;3.513;-3.628;3.607;464;457;526;476;;
56;2.409;4.185;-3.701;3.517;464;441;526;476;;
60;2.410;3.993;-3.627;3.427;464;443;528;487;;
63;2.332;3.992;-3.627;3.337;464;450;528;482;;
66;2.488;4.089;-3.699;3.247;464;448;524;467;;
70;2.022;3.036;-3.627;3.337;464;461;526;476;;
73;2.179;3.131;-3.627;3.337;464;457;526;480;;
76;2.100;3.036;-3.554;3.518;464;461;526;484;;
80;2.411;3.801;-3.554;3.428;464;450;526;486;;
83;2.022;3.036;-3.628;3.517;464;459;528;482;;
86;2.101;2.941;-3.482;3.609;464;459;526;482;;
90;2.256;3.322;-3.555;3.608;464;450;528;486;;
93;2.334;3.609;-3.482;3.609;464;448;526;486;;
97;2.256;3.322;-3.481;3.519;464;457;524;486;;
100;2.100;3.131;-3.482;3.609;464;454;526;482;;
103;2.022;3.036;-3.482;3.609;464;457;526;482;;
107;2.101;2.941;-3.409;3.609;464;459;528;491;;
110;2.412;3.609;-3.555;3.608;464;450;528;484;;
113;2.256;3.322;-3.555;3.608;464;461;528;486;;
117;2.256;3.322;-3.482;3.699;464;457;528;484;;
120;2.179;3.036;-3.482;3.609;464;464;528;489;;
123;2.491;3.609;-3.628;3.607;464;454;528;482;;
127;2.489;3.897;-3.482;3.609;464;450;526;484;;
130;2.255;3.705;-3.482;3.609;464;454;528;486;;
133;2.179;3.131;-3.554;3.518;464;457;528;491;;
137;2.178;3.322;-3.555;3.698;464;457;524;480;;
140;2.180;2.846;-3.555;3.608;464;464;528;489;;
143;2.100;3.131;-3.482;3.699;464;459;528;482;;
147;2.177;3.418;-3.482;3.609;464;454;528;489;;
150;2.411;3.801;-3.555;3.698;464;452;528;484;;
153;2.334;3.513;-3.482;3.699;464;454;528;484;;
157;2.257;3.227;-3.555;3.788;464;459;528;482;;
160;2.177;3.513;-3.482;3.699;464;450;528;484;;
163;2.256;3.322;-3.555;3.788;464;462;528;482;;
167;2.722;4.571;-3.555;3.698;464;443;528;482;;
170;2.100;3.131;-3.628;3.698;464;473;528;486;;
173;2.411;3.801;-3.554;3.518;464;450;528;486;;
177;2.335;3.322;-3.628;3.607;464;452;528;482;;
180;2.179;3.131;-3.482;3.699;464;454;526;484;;
183;2.334;3.609;-3.554;3.518;464;445;528;489;;
187;2.100;3.131;-3.554;3.518;464;462;528;486;;
190;2.490;3.705;-3.554;3.428;464;454;528;491;;
194;2.412;3.609;-3.627;3.427;464;454;528;493;;
197;2.101;2.846;-3.628;3.517;464;461;528;486;;
200;2.412;3.609;-3.554;3.518;464;459;528;489;;
204;2.179;3.036;-3.481;3.519;464;459;528;489;;
207;2.568;3.897;-3.628;3.517;464;445;528;486;;
210;2.413;3.418;-3.554;3.518;464;452;528;486;;
214;2.180;2.941;-3.481;3.519;464;461;526;486;;
217;2.180;2.846;-3.554;3.518;464;459;528;482;;
220;2.179;3.036;-3.554;3.518;464;461;528;496;;
224;2.180;2.941;-3.481;3.519;464;461;528;484;;
227;2.646;3.993;-3.481;3.429;464;450;528;493;;
230;2.336;3.037;-3.627;3.427;464;459;528;484;;
234;2.491;3.514;-3.481;3.519;464;452;528;489;;
237;2.726;3.706;-3.262;3.611;464;457;524;486;;
240;2.808;3.133;-2.823;3.526;462;457;510;484;;
244;3.671;3.234;-2.091;3.448;457;454;509;484;;
247;4.685;4.296;-1.650;3.277;457;450;525;474;;
250;4.766;3.818;-1.214;3.736;464;448;528;480;;
254;4.613;3.244;-1.286;3.555;464;450;526;477;;
257;4.689;3.626;-1.507;3.640;464;450;523;478;;
260;4.377;3.432;-1.726;3.635;461;451;521;480;;
264;4.608;4.007;-1.726;3.635;459;443;516;462;;
267;4.377;3.432;-1.872;3.542;461;448;514;473;;
271;4.840;4.682;-1.799;3.634;454;443;516;480;;
274;4.531;3.815;-1.798;3.454;454;445;507;478;;
277;4.529;4.102;-1.872;3.542;457;441;512;473;;
281;4.529;4.198;-1.798;3.454;454;445;509;462;;
284;4.220;3.430;-1.653;3.637;457;453;509;471;;
287;4.529;4.102;-1.726;3.635;452;441;509;460;;
291;4.451;4.197;-1.654;3.817;452;438;507;464;;
294;4.450;4.293;-1.727;3.725;450;438;507;471;;
297;4.452;3.910;-1.946;3.631;452;441;505;450;;
301;4.451;4.197;-1.727;3.815;448;436;505;468;;
