# ExportGPHVersion: 1.22
# InputFile: \\SRV-DATA2\PrediCog\EyeCog\Analyses\Analyses_Adrian\Categorisation\RBj00\RBj00_Encodage-categorisation_set2_14_03_22_2024.02.27_17.34.58.gph
# OutputFile: \\SRV-DATA2\PrediCog\EyeCog\Analyses\Analyses_Adrian\Categorisation\RBj00\Export_2024-03-01_15-41-55_categorisation.csv
# ExportDate: 01/03/2024 15:41:55
# AcquisitionSoftware: meyeParadigm
# AcqSoftwareVersion: 1.23
# PatientsName: RBj00 RBj00
# DateOfBirth: 01/01/2000
# ExamDate: 27/02/2024
# Comment: -
# 
# Device: EyeBrain_T2
# SampleRate(Hz): 300
# HeadScreenDistance(mm): 600
# ScreenSize[X,Y](mm): 478 269
# Resolution[X,Y](pix): 1920 1080
# 
# CalibrationQuality
# CorrelationLX: 1.00
# CorrelationLY: 1.00
# CorrelationRX: 1.00
# CorrelationRY: 1.00
Time (ms);LX (deg);LY (deg);RX (deg);RY (deg);LDX (pix);LDY (pix);RDX (pix);RDY (pix);Label;
0;4.204;6.562;-2.156;6.038;480;469;474;464;;
3;4.125;6.460;-2.236;6.137;483;474;467;457;;
6;4.127;6.361;-2.477;6.435;487;476;467;451;;
9;4.127;6.361;-2.316;6.137;492;478;469;464;;
13;4.204;6.562;-2.397;6.336;489;476;469;454;;
16;4.286;6.564;-2.156;6.038;489;474;476;473;;
20;4.206;6.462;-2.317;6.236;480;474;464;453;;
23;4.206;6.462;-2.236;6.137;487;474;469;471;;
26;4.125;6.460;-2.237;6.236;480;476;467;457;;
30;4.287;6.464;-2.317;6.236;480;469;467;464;;
33;4.125;6.460;-2.317;6.336;487;478;469;453;;
36;4.286;6.564;-2.316;6.137;475;471;471;464;;
40;4.204;6.562;-2.237;6.236;485;476;467;461;;
43;4.206;6.462;-2.316;6.137;491;478;476;467;;
46;4.127;6.361;-2.236;6.137;487;476;471;460;;
50;4.286;6.564;-2.237;6.236;492;476;469;466;;
53;4.289;6.365;-2.315;6.038;487;469;471;452;;
56;4.208;6.363;-1.996;5.938;494;480;467;469;;
60;4.367;6.566;-2.157;6.137;476;469;467;467;;
63;4.289;6.365;-2.236;6.038;490;474;469;469;;
66;4.448;6.568;-2.075;5.839;483;474;469;471;;
70;4.289;6.365;-2.076;5.938;492;476;469;467;;
73;4.448;6.568;-2.077;6.137;480;474;464;457;;
76;4.531;6.471;-2.236;6.137;485;476;469;466;;
80;4.529;6.570;-2.154;5.839;483;474;474;471;;
83;4.453;6.270;-2.157;6.137;482;474;467;460;;
86;4.291;6.265;-2.077;6.037;494;478;469;473;;
90;4.451;6.369;-2.155;5.938;490;474;476;475;;
93;4.289;6.365;-2.074;5.740;492;478;474;474;;
97;4.453;6.270;-1.995;5.839;483;474;469;473;;
100;4.451;6.369;-1.995;5.839;483;478;467;457;;
103;4.449;6.469;-2.076;5.938;483;478;471;478;;
107;4.370;6.367;-2.239;6.534;475;474;467;459;;
110;4.291;6.265;-2.076;5.938;496;478;474;475;;
