# ExportGPHVersion: 1.22
# InputFile: \\SRV-DATA2\PrediCog\EyeCog\Analyses\Analyses_Adrian\Jeunes\Pupille\Analyse sujet par sujet\RLj02_\RLj02\RLj02_Encodage_set1_inv_14_03_22_2022.03.16_17.57.20.gph
# OutputFile: \\SRV-DATA2\PrediCog\EyeCog\Analyses\Analyses_Adrian\Jeunes\Pupille\Analyse sujet par sujet\RLj02_\RLj02\Export_2023-03-24_16-53-15_categorisation.csv
# ExportDate: 24/03/2023 16:53:15
# AcquisitionSoftware: meyeParadigm
# AcqSoftwareVersion: 1.23
# PatientsName: RLj02 RLj02
# DateOfBirth: 11/11/2002
# ExamDate: 16/03/2022
# Comment: -
# 
# Device: EyeBrain_T2
# SampleRate(Hz): 300
# HeadScreenDistance(mm): 600
# ScreenSize[X,Y](mm): 478 269
# Resolution[X,Y](pix): 1920 1080
# 
# CalibrationQuality
# CorrelationLX: 1.00
# CorrelationLY: 1.00
# CorrelationRX: 1.00
# CorrelationRY: 1.00
Time (ms);LX (deg);LY (deg);RX (deg);RY (deg);LDX (pix);LDY (pix);RDX (pix);RDY (pix);Label;
3;1.231;3.296;-4.362;0.987;521;480;560;528;;
6;1.168;3.044;-4.297;0.900;525;483;560;528;;
9;1.166;3.128;-4.369;0.897;521;487;560;528;Fixation=obj_nat_set1_I_12: trial n°0; 
13;1.097;3.129;-4.369;0.897;518;483;557;526;;
16;1.237;3.044;-4.362;0.987;523;483;557;526;;
19;1.237;3.044;-4.369;0.897;523;483;557;528;;
23;1.166;3.128;-4.362;0.987;523;494;560;525;;
26;1.168;3.044;-4.369;0.897;518;480;557;528;;
29;1.235;3.128;-4.369;0.897;521;483;560;526;;
33;1.306;3.044;-4.297;0.900;528;483;560;528;;
36;1.166;3.128;-4.362;0.987;525;483;560;528;;
39;1.235;3.128;-4.362;0.987;525;480;557;528;;
43;1.239;2.960;-4.362;0.987;523;480;560;528;;
46;1.168;3.044;-4.369;0.897;523;480;557;528;;
49;1.237;3.044;-4.369;0.897;523;487;560;526;;
53;1.235;3.128;-4.362;0.987;525;485;557;528;;
56;1.168;3.044;-4.362;0.987;521;483;557;528;;
59;1.239;2.960;-4.369;0.897;523;483;557;526;;
63;1.306;3.044;-4.362;0.987;525;487;560;528;;
66;1.371;3.211;-4.362;0.987;518;480;557;528;;
69;1.235;3.128;-4.297;0.900;521;480;560;526;;
73;1.237;3.044;-4.369;0.897;525;480;557;526;;
76;1.168;3.044;-4.369;0.897;518;480;557;528;;
79;1.239;2.960;-4.369;0.897;525;480;560;528;;
83;1.241;2.876;-4.362;0.987;525;480;557;526;;
86;1.237;3.044;-4.369;0.897;525;487;557;528;;
89;1.239;2.960;-4.369;0.897;523;480;557;526;;
93;1.239;2.960;-4.440;0.895;525;483;557;528;;
96;1.241;2.876;-4.440;0.895;525;480;557;528;;
99;1.237;3.044;-4.297;0.900;525;483;560;526;;
103;1.168;3.044;-4.362;0.987;521;480;557;528;;
106;1.239;2.960;-4.369;0.897;528;485;560;526;;
110;1.237;3.044;-4.362;0.987;525;485;557;528;;
113;1.304;3.128;-4.440;0.895;525;480;557;526;;
116;1.170;2.960;-4.369;0.897;528;480;560;528;;
120;1.239;2.960;-4.434;0.984;521;480;557;528;;
123;1.097;3.129;-4.369;0.897;531;494;557;526;;
126;1.306;3.044;-4.440;0.895;525;480;560;528;;
130;1.166;3.128;-4.428;1.074;525;492;557;525;;
133;1.170;2.960;-4.362;0.987;525;480;557;528;;
136;1.235;3.128;-4.362;0.987;523;480;560;528;;
140;1.239;2.960;-4.362;0.987;525;480;560;528;;
143;1.172;2.876;-4.434;0.984;523;483;557;528;;
146;1.239;2.960;-4.362;0.987;525;480;560;528;;
150;1.170;2.960;-4.369;0.897;521;480;557;528;;
153;1.168;3.044;-4.440;0.895;525;490;557;528;;
156;1.166;3.128;-4.506;0.982;528;490;557;528;;
160;1.172;2.876;-4.440;0.895;525;480;557;528;;
163;1.241;2.876;-4.440;0.895;531;483;557;528;;
166;1.166;3.128;-4.434;0.984;521;480;557;528;;
170;1.170;2.960;-4.499;1.071;528;480;557;528;;
173;1.239;2.960;-4.434;0.984;525;480;557;528;;
176;1.239;2.960;-4.512;0.893;531;480;557;528;;
180;1.170;2.960;-4.512;0.893;525;485;557;528;;
183;1.172;2.876;-4.434;0.984;531;483;557;528;;
186;1.099;3.045;-4.428;1.074;518;483;557;528;;
190;1.239;2.960;-4.440;0.895;528;480;557;528;;
193;1.237;3.044;-4.440;0.895;528;480;557;528;;
197;1.241;2.876;-4.506;0.982;525;480;557;528;;
200;1.239;2.960;-4.440;0.895;528;483;557;528;;
203;1.241;2.876;-4.506;0.982;528;483;557;528;;
207;1.241;2.876;-4.440;0.895;525;480;557;528;;
210;1.308;2.960;-4.440;0.895;528;487;557;526;;
213;1.241;2.876;-4.362;0.987;525;480;557;526;;
217;1.308;2.960;-4.434;0.984;528;482;557;528;;
220;1.308;2.960;-4.434;0.984;528;485;557;528;;
223;1.308;2.960;-4.440;0.895;528;485;560;528;;
227;1.237;3.044;-4.440;0.895;531;490;557;528;;
230;1.308;2.960;-4.440;0.895;528;483;557;528;;
233;1.239;2.960;-4.434;0.984;528;485;557;528;;
237;1.239;2.960;-4.434;0.984;531;490;557;528;;
240;1.310;2.876;-4.434;0.984;528;480;557;528;;
243;1.310;2.876;-4.440;0.895;528;480;557;528;;
247;1.241;2.876;-4.506;0.982;528;483;557;528;;
