# ExportGPHVersion: 1.22
# InputFile: \\SRV-DATA2\PrediCog\EyeCog\Analyses\Analyses_Adrian\Jeunes\Pupille\Analyse sujet par sujet\RTj98_\RTj98\RTj98_Encodage-catégorisation_set1_14_03_22_2022.04.19_16.43.10.gph
# OutputFile: \\SRV-DATA2\PrediCog\EyeCog\Analyses\Analyses_Adrian\Jeunes\Pupille\Analyse sujet par sujet\RTj98_\RTj98\Export_2023-03-24_16-54-13_categorisation.csv
# ExportDate: 24/03/2023 16:54:13
# AcquisitionSoftware: meyeParadigm
# AcqSoftwareVersion: 1.23
# PatientsName: RTj98 RTj98
# DateOfBirth: 11/11/1998
# ExamDate: 19/04/2022
# Comment: -
# 
# Device: EyeBrain_T2
# SampleRate(Hz): 300
# HeadScreenDistance(mm): 600
# ScreenSize[X,Y](mm): 478 269
# Resolution[X,Y](pix): 1920 1080
# 
# CalibrationQuality
# CorrelationLX: 1.00
# CorrelationLY: 1.00
# CorrelationRX: 1.00
# CorrelationRY: 1.00
Time (ms);LX (deg);LY (deg);RX (deg);RY (deg);LDX (pix);LDY (pix);RDX (pix);RDY (pix);Label;
2;2.448;5.758;-3.269;4.459;496;492;471;451;;
5;2.373;5.761;-3.275;4.353;496;491;462;448;;
8;2.298;5.658;-3.345;4.464;496;483;464;448;;
11;2.374;5.655;-3.204;4.242;493;480;467;448;Fixation=obj_nat_set1_I_13: trial n°0; 
15;2.446;5.970;-3.345;4.464;493;480;466;448;;
18;2.222;5.766;-3.275;4.353;496;487;471;448;;
22;2.295;5.975;-3.281;4.247;496;496;461;448;;
25;2.298;5.658;-3.351;4.358;496;480;466;451;;
28;2.220;5.872;-3.275;4.353;496;487;469;448;;
32;2.371;5.866;-3.281;4.247;496;480;469;448;;
35;2.222;5.766;-3.275;4.353;496;490;464;448;;
38;2.295;5.975;-3.275;4.353;493;489;468;448;;
42;2.370;5.972;-3.275;4.353;493;490;466;451;;
45;2.296;5.869;-3.281;4.247;496;492;471;448;;
48;2.370;5.972;-3.275;4.353;496;496;471;451;;
52;2.370;5.972;-3.281;4.247;496;493;471;451;;
55;2.295;5.975;-3.204;4.242;496;496;469;448;;
58;2.373;5.761;-3.204;4.242;496;480;466;448;;
62;2.371;5.866;-3.204;4.242;496;496;473;448;;
65;2.373;5.761;-3.198;4.347;496;480;467;448;;
68;2.371;5.866;-3.204;4.242;496;496;467;448;;
72;2.373;5.761;-3.281;4.247;496;494;469;448;;
75;2.373;5.761;-3.128;4.236;496;496;469;448;;
78;2.370;5.972;-3.275;4.353;496;496;469;448;;
82;2.295;5.975;-3.204;4.242;496;496;471;453;;
85;2.450;5.546;-3.281;4.247;496;483;469;448;;
88;2.448;5.758;-3.204;4.242;496;494;469;448;;
92;2.374;5.549;-3.128;4.236;496;483;464;448;;
95;2.371;5.866;-3.204;4.242;496;496;471;448;;
98;2.447;5.864;-3.275;4.353;496;494;473;458;;
102;2.373;5.761;-3.198;4.347;496;496;475;453;;
105;2.447;5.864;-3.204;4.242;496;480;471;448;;
108;2.374;5.549;-3.275;4.353;496;483;473;451;;
112;2.297;5.763;-3.351;4.358;496;482;468;448;;
115;2.296;5.869;-3.275;4.353;503;496;471;455;;
119;2.220;5.872;-3.204;4.242;493;496;473;448;;
122;2.298;5.658;-3.351;4.358;493;475;471;453;;
125;2.220;5.872;-3.351;4.358;493;492;468;455;;
129;2.295;5.975;-3.357;4.252;496;496;468;448;;
132;2.296;5.869;-3.351;4.358;493;496;468;455;;
135;2.447;5.864;-3.357;4.252;491;480;473;451;;
139;2.296;5.869;-3.433;4.258;496;487;468;448;;
142;2.296;5.869;-3.275;4.353;496;490;471;453;;
145;2.370;5.972;-3.351;4.358;496;489;471;455;;
149;2.296;5.869;-3.351;4.358;493;494;471;455;;
152;2.448;5.758;-3.351;4.358;496;483;462;448;;
155;2.371;5.866;-3.427;4.364;496;494;466;451;;
159;2.520;6.073;-3.351;4.358;496;482;471;453;;
162;2.373;5.761;-3.357;4.252;496;475;468;451;;
165;2.295;5.975;-3.357;4.252;496;494;471;453;;
169;2.371;5.866;-3.351;4.358;496;477;471;453;;
172;2.370;5.972;-3.345;4.464;496;496;471;460;;
175;2.296;5.869;-3.357;4.252;496;480;468;451;;
179;2.371;5.866;-3.357;4.252;496;496;468;448;;
182;2.374;5.655;-3.427;4.364;496;485;468;451;;
185;2.296;5.869;-3.427;4.364;496;487;471;453;;
189;2.444;6.076;-3.357;4.252;496;491;468;453;;
192;2.295;5.975;-3.427;4.364;496;496;468;455;;
195;2.295;5.975;-3.345;4.464;496;496;475;455;;
199;2.448;5.758;-3.204;4.242;496;480;475;455;;
202;2.370;5.972;-3.281;4.247;496;496;477;455;;
206;2.295;5.975;-3.433;4.258;496;496;464;448;;
209;2.297;5.763;-3.433;4.258;496;483;462;451;;
212;2.370;5.972;-3.351;4.358;496;496;471;455;;
216;2.446;5.970;-3.433;4.258;496;496;464;451;;
219;2.371;5.866;-3.345;4.464;496;496;471;455;;
222;2.373;5.761;-3.351;4.358;496;485;471;455;;
226;2.370;5.972;-3.351;4.358;493;496;468;448;;
229;2.370;5.972;-3.433;4.258;496;480;466;448;;
232;2.370;5.972;-3.498;4.475;496;492;460;448;;
236;2.292;6.188;-3.504;4.369;496;496;462;448;;
239;2.292;6.188;-3.427;4.364;493;491;464;448;;
242;2.368;6.185;-3.509;4.264;496;491;462;448;;
246;2.293;6.082;-3.427;4.364;496;492;464;448;;
249;2.293;6.082;-3.504;4.369;496;491;462;448;;
252;2.293;6.082;-3.433;4.258;493;489;462;448;;
256;2.291;6.294;-3.498;4.475;496;491;462;446;;
259;2.292;6.188;-3.433;4.258;491;478;460;446;;
262;2.292;6.188;-3.422;4.470;491;480;460;448;;
266;2.289;6.401;-3.504;4.369;491;489;462;448;;
269;2.517;6.286;-3.498;4.475;491;473;458;446;;
272;2.437;6.609;-3.422;4.470;486;480;455;446;;
276;2.368;6.185;-3.345;4.464;489;473;451;446;;
279;2.289;6.401;-3.333;4.676;489;475;453;446;;
282;2.284;6.721;-3.345;4.464;482;459;453;446;;
286;2.287;6.507;-3.263;4.565;486;468;448;441;;
289;2.289;6.401;-3.327;4.782;482;476;451;437;;
293;2.289;6.401;-3.333;4.676;482;464;446;425;;
296;2.214;6.404;-3.333;4.676;482;464;446;434;;
299;2.286;6.614;-3.327;4.782;477;459;446;432;;
303;2.357;6.825;-3.416;4.576;480;467;446;425;;
306;2.284;6.721;-3.327;4.782;468;457;444;418;;
309;2.208;6.724;-3.410;4.682;469;454;446;423;;
313;2.286;6.614;-3.410;4.682;471;454;444;418;;
316;2.287;6.507;-3.257;4.671;459;450;437;413;;
319;2.359;6.718;-3.333;4.676;466;450;439;416;;
323;2.208;6.724;-3.333;4.676;460;450;437;416;;
326;2.210;6.617;-3.410;4.682;455;450;437;411;;
329;2.206;6.831;-3.333;4.676;466;448;435;413;;
333;2.280;6.935;-3.339;4.570;450;452;435;416;;
336;2.433;6.823;-3.410;4.682;446;446;435;411;;
339;2.282;6.828;-3.410;4.682;446;444;427;411;;
343;2.359;6.718;-3.404;4.788;444;439;427;409;;
346;2.355;6.933;-3.410;4.682;444;446;427;409;;
349;2.357;6.825;-3.321;4.889;442;432;425;404;;
353;2.586;6.710;-3.345;4.464;435;446;427;409;;
356;2.890;6.593;-3.122;4.342;438;439;429;413;;
359;3.200;5.944;-2.904;4.115;443;437;432;412;;
363;3.353;5.833;-2.763;3.893;443;436;432;410;;
366;3.428;5.831;-2.768;3.787;448;444;430;414;;
369;3.506;5.617;-2.785;3.471;448;448;430;412;;
373;3.505;5.723;-2.938;3.481;448;428;430;404;;
376;3.506;5.617;-2.861;3.476;448;436;430;398;;
380;3.506;5.617;-2.850;3.687;445;439;427;400;;
383;3.431;5.513;-2.927;3.692;445;419;427;400;;
386;3.354;5.727;-2.927;3.692;443;434;427;395;;
390;3.506;5.511;-2.856;3.581;437;421;425;397;;
393;3.506;5.511;-2.932;3.586;435;419;423;393;;
396;3.430;5.619;-2.932;3.586;435;416;419;389;;
400;3.507;5.405;-2.779;3.576;425;419;413;391;;
403;3.582;5.509;-2.703;3.571;430;416;412;389;;
406;3.507;5.405;-2.697;3.677;419;416;404;384;;
410;3.657;5.507;-2.703;3.571;416;414;404;389;;
413;3.432;5.407;-2.697;3.677;416;414;406;384;;
