# ExportGPHVersion: 1.22
# InputFile: \\SRV-DATA2\PrediCog\EyeCog\Analyses\Analyses_Adrian\Categorisation\SPj98\SPj98_Encodage-categorisation_set2_14_03_22_2024.04.29_11.48.11.gph
# OutputFile: \\SRV-DATA2\PrediCog\EyeCog\Analyses\Analyses_Adrian\Categorisation\SPj98\Export_2024-04-30_13-53-06_categorisation.csv
# ExportDate: 30/04/2024 13:53:06
# AcquisitionSoftware: meyeParadigm
# AcqSoftwareVersion: 1.23
# PatientsName: SPj98 SPj98
# DateOfBirth: 01/01/1998
# ExamDate: 29/04/2024
# Comment: -
# 
# Device: EyeBrain_T2
# SampleRate(Hz): 300
# HeadScreenDistance(mm): 600
# ScreenSize[X,Y](mm): 478 269
# Resolution[X,Y](pix): 1920 1080
# 
# CalibrationQuality
# CorrelationLX: 1.00
# CorrelationLY: 1.00
# CorrelationRX: 1.00
# CorrelationRY: 1.00
Time (ms);LX (deg);LY (deg);RX (deg);RY (deg);LDX (pix);LDY (pix);RDX (pix);RDY (pix);Label;
3;6.207;3.792;0.165;4.858;432;416;400;391;;
6;6.207;3.722;0.107;4.859;432;416;400;391;;
9;6.266;3.862;0.104;4.932;432;414;400;393;;
12;6.207;3.792;0.038;5.151;432;416;400;379;Fixation=obj_art_set2_C_11: trial n°0; 
16;6.149;3.791;0.107;4.859;432;416;402;391;;
19;6.207;3.722;0.104;4.932;432;416;400;388;;
22;6.149;3.791;0.107;4.859;432;414;402;391;;
26;6.207;3.722;0.107;4.859;432;414;400;389;;
29;6.207;3.722;0.104;4.932;432;414;402;388;;
32;6.265;3.722;0.165;4.858;430;416;402;395;;
36;6.266;3.862;0.104;4.932;432;414;400;388;;
39;6.149;3.721;0.163;4.930;432;416;400;384;;
43;6.207;3.722;0.165;4.858;432;416;402;391;;
46;6.149;3.721;0.040;5.078;432;416;400;382;;
49;6.207;3.722;0.224;4.856;432;412;406;393;;
53;6.381;3.723;0.221;4.929;430;414;406;393;;
56;6.206;3.652;0.165;4.858;432;414;402;393;;
59;6.323;3.653;0.221;4.929;430;412;402;393;;
63;6.265;3.722;0.224;4.856;430;412;404;391;;
66;6.207;3.722;0.224;4.856;432;414;402;391;;
69;6.206;3.652;0.160;5.003;430;414;402;382;;
73;6.266;3.792;0.280;4.928;434;416;404;384;;
76;6.265;3.722;0.280;4.928;432;414;406;386;;
79;6.206;3.652;0.221;4.929;432;416;400;382;;
83;6.265;3.722;0.099;5.077;432;412;402;391;;
86;6.207;3.722;0.336;5.000;432;416;406;393;;
89;6.265;3.722;0.282;4.855;430;412;409;393;;
93;6.207;3.722;0.280;4.928;432;414;406;393;;
96;6.265;3.722;0.338;4.927;430;414;409;393;;
99;6.265;3.722;0.155;5.148;430;416;402;386;;
103;6.323;3.723;0.280;4.928;430;414;409;393;;
106;6.264;3.652;0.400;4.853;430;412;418;397;;
109;6.264;3.652;0.282;4.855;430;412;406;391;;
113;6.265;3.722;0.280;4.928;430;416;409;391;;
116;6.266;3.792;0.338;4.927;430;416;409;393;;
119;6.266;3.792;0.277;5.001;432;414;402;379;;
123;6.266;3.792;0.214;5.147;432;416;404;384;;
126;6.266;3.792;0.394;4.999;432;412;411;393;;
130;6.208;3.862;0.331;5.145;430;416;411;393;;
133;6.208;3.931;0.331;5.145;432;419;406;386;;
136;6.208;3.931;0.331;5.145;432;423;409;388;;
140;6.208;3.931;0.270;5.219;432;416;406;388;;
143;6.208;3.931;0.262;5.437;432;416;411;386;;
146;6.383;3.933;0.328;5.218;430;416;409;386;;
150;6.324;3.863;0.326;5.291;434;419;409;388;;
153;6.267;4.002;0.267;5.292;432;426;409;388;;
156;6.266;3.862;0.270;5.219;434;416;409;386;;
160;6.384;4.003;0.270;5.219;428;416;406;393;;
163;6.384;4.003;0.267;5.292;432;416;406;381;;
166;6.325;3.933;0.267;5.292;430;416;409;388;;
