# ExportGPHVersion: 1.22
# InputFile: \\SRV-DATA2\PrediCog\EyeCog\Analyses\Analyses_Adrian\Jeunes\Pupille\Analyse sujet par sujet\VGj99_\VGj99\VGj99_Encodage-categorisation_set2_14_03_22_2022.04.21_17.51.15.gph
# OutputFile: \\SRV-DATA2\PrediCog\EyeCog\Analyses\Analyses_Adrian\Jeunes\Pupille\Analyse sujet par sujet\VGj99_\VGj99\Export_2023-03-24_16-58-20_categorisation.csv
# ExportDate: 24/03/2023 16:58:20
# AcquisitionSoftware: meyeParadigm
# AcqSoftwareVersion: 1.23
# PatientsName: VGj99 VGj99
# DateOfBirth: 11/11/1999
# ExamDate: 21/04/2022
# Comment: -
# 
# Device: EyeBrain_T2
# SampleRate(Hz): 300
# HeadScreenDistance(mm): 600
# ScreenSize[X,Y](mm): 478 269
# Resolution[X,Y](pix): 1920 1080
# 
# CalibrationQuality
# CorrelationLX: 1.00
# CorrelationLY: 1.00
# CorrelationRX: 1.00
# CorrelationRY: 1.00
Time (ms);LX (deg);LY (deg);RX (deg);RY (deg);LDX (pix);LDY (pix);RDX (pix);RDY (pix);Label;
0;2.641;5.790;-3.374;4.685;498;460;492;450;;
3;2.641;5.790;-3.522;4.575;498;455;496;459;;
6;2.560;6.012;-3.504;4.912;496;461;485;444;;
10;2.564;5.792;-3.439;4.798;496;455;489;446;Fixation=ani_art_set2_I_05: trial n°0; 
13;2.560;6.012;-3.386;4.461;496;457;492;453;;
23;2.637;6.010;-3.439;4.798;498;462;493;446;;
26;2.560;6.012;-3.367;4.797;496;459;494;446;;
30;2.566;5.682;-3.374;4.685;496;462;489;444;;
33;2.562;5.902;-3.516;4.687;498;464;494;452;;
36;2.632;6.231;-3.439;4.798;496;458;491;448;;
40;2.641;5.790;-3.594;4.576;496;455;491;455;;
43;2.564;5.792;-3.600;4.464;500;464;494;464;;
46;2.639;5.900;-3.600;4.464;498;464;501;464;;
50;2.560;6.012;-3.439;4.798;496;460;494;448;;
53;2.637;6.010;-3.516;4.687;500;462;494;455;;
56;2.564;5.792;-3.522;4.575;496;462;494;459;;
60;2.711;6.119;-3.528;4.463;496;458;496;453;;
63;2.564;5.792;-3.594;4.576;496;460;498;461;;
66;2.562;5.902;-3.510;4.799;498;464;493;450;;
70;2.562;5.902;-3.659;4.690;496;464;499;459;;
73;2.639;5.900;-3.522;4.575;496;462;496;461;;
76;2.560;6.012;-3.439;4.798;496;461;494;450;;
80;2.637;6.010;-3.380;4.573;498;464;494;446;;
83;2.562;5.902;-3.457;4.462;498;464;503;461;;
86;2.562;5.902;-3.522;4.575;496;464;496;461;;
90;2.560;6.012;-3.457;4.462;498;464;489;439;;
93;2.564;5.792;-3.457;4.462;498;464;496;464;;
97;2.639;5.900;-3.445;4.686;496;464;494;450;;
100;2.639;5.900;-3.451;4.574;496;462;494;457;;
103;2.711;6.119;-3.528;4.463;496;462;498;462;;
106;2.711;6.119;-3.380;4.573;496;462;498;457;;
110;2.641;5.790;-3.302;4.684;500;464;494;446;;
113;2.562;5.902;-3.367;4.797;496;457;492;450;;
117;2.562;5.902;-3.439;4.798;496;460;498;450;;
120;2.716;5.898;-3.374;4.685;496;460;496;444;;
