# ExportGPHVersion: 1.22
# InputFile: \\SRV-DATA2\PrediCog\EyeCog\Analyses\Analyses_Loanne\2-Jeunes\1-Catégorisation\Analyse sujet par sujet\VLj00_\VLj00\VLj00_Encodage-categorisation_set2_14_03_22_2023.04.06_10.12.32.gph
# OutputFile: \\SRV-DATA2\PrediCog\EyeCog\Analyses\Analyses_Loanne\2-Jeunes\1-Catégorisation\Analyse sujet par sujet\VLj00_\VLj00\Export_2023-05-09_17-13-18_categorisation.csv
# ExportDate: 09/05/2023 17:13:18
# AcquisitionSoftware: meyeParadigm
# AcqSoftwareVersion: 1.23
# PatientsName: VLj00 VLj00
# DateOfBirth: 01/01/2000
# ExamDate: 06/04/2023
# Comment: -
# 
# Device: EyeBrain_T2
# SampleRate(Hz): 300
# HeadScreenDistance(mm): 600
# ScreenSize[X,Y](mm): 478 269
# Resolution[X,Y](pix): 1920 1080
# 
# CalibrationQuality
# CorrelationLX: 1.00
# CorrelationLY: 1.00
# CorrelationRX: 1.00
# CorrelationRY: 1.00
Time (ms);LX (deg);LY (deg);RX (deg);RY (deg);LDX (pix);LDY (pix);RDX (pix);RDY (pix);Label;
2;3.306;4.681;-2.981;3.335;441;411;422;413;;
5;3.391;4.677;-2.895;3.328;441;409;425;416;;
8;3.473;4.786;-2.895;3.328;445;432;425;413;;
11;3.387;4.790;-3.076;3.224;445;428;418;413;;
15;3.384;4.903;-2.990;3.217;443;435;422;413;;
18;3.465;5.012;-2.981;3.335;448;435;422;413;;
22;3.395;4.564;-2.990;3.217;443;419;422;413;;
25;3.391;4.677;-2.981;3.335;445;426;422;413;;
28;3.473;4.786;-2.971;3.453;445;435;422;416;;
31;3.473;4.786;-2.990;3.217;445;432;422;413;;
35;3.480;4.561;-2.990;3.217;445;426;422;413;;
38;3.554;4.896;-2.818;3.202;445;427;422;413;;
42;3.469;4.899;-2.818;3.202;443;432;425;420;;
45;3.476;4.673;-2.818;3.202;445;423;427;420;;
48;3.476;4.673;-2.895;3.328;445;428;425;413;;
52;3.473;4.786;-2.895;3.328;445;432;425;416;;
55;3.476;4.673;-2.904;3.209;445;428;425;413;;
58;3.476;4.673;-2.895;3.328;445;423;422;413;;
62;3.558;4.783;-2.827;3.084;450;435;427;418;;
65;3.547;5.121;-2.904;3.209;448;448;422;416;;
